Nome,Marca,Unidade,Preço,Preço anterior,Preço por unidade
Aceite La Masía coco virgen extra ecológico 430 ml,,,"5,95 €",,"13,84 €/Litro"
Aceite Abrilsol girasol 1 l,,,"2,30 €",,"2,30 €/Litro"
Aceite Abrilsol girasol 5 l,,,"11,45 €",,"2,29 €/Litro"
Aceite Donsol girasol 1 l,,,"2,67 €",,"2,67 €/Litro"
Aceite Froiz-sol girasol 1 l,,,"2,40 €",,"2,40 €/Litro"
Aceite Froiz-sol girasol premier 5 l,,,"11,75 €",,"2,35 €/Litro"
Aceite Koipesol girasol 1 l,,,"2,49 €","2,99 €","2,49 €/Litro"
Aceite La Masía Masiasol girasol 1 l,,,"2,39 €",,"2,39 €/Litro"
Aceite Ucasol girasol 1 l,,,"2,85 €",,"2,85 €/Litro"
Aceite Ucasol girasol 5 l,,,"13,99 €",,"2,80 €/Litro"
Aceite Koipesol Asua maíz 1 l,,,"2,99 €",,"2,99 €/Litro"
Aceite Abril oliva intenso 1 l,,,"4,65 €",,"4,65 €/Litro"
Aceite Abril oliva suave 1 l,,,"4,65 €",,"4,65 €/Litro"
Aceite Abril oliva virgen extra 1 l,,,"4,85 €",,"4,85 €/Litro"
Aceite Abril oliva virgen extra ecológico 75 cl,,,"5,25 €",,"7,00 €/Litro"
Aceite Abril oliva virgen extra spray 200 ml,,,"2,10 €",,"10,50 €/Litro"
Aceite Carbonell oliva spray plancha 200 ml,,,"2,79 €",,"13,95 €/Litro"
Aceite Carbonell oliva suave 1 l,,,"4,75 €","5,25 €","4,75 €/Litro"
Aceite Carbonell oliva suave lata 5 l,,,"27,10 €",,"5,42 €/Litro"
Aceite Carbonell oliva virgen extra 1 l,,,"4,79 €","5,45 €","4,79 €/Litro"
Aceite Carbonell oliva virgen extra 75 cl,,,"5,45 €",,"7,27 €/Litro"
Aceite Cazorliva oliva virgen extra variedad Arbequina 75 cl,,,"4,75 €",,"6,33 €/Litro"
Aceite Coosur oliva intenso 1 l,,,"5,09 €",,"5,09 €/Litro"
Aceite Coosur oliva suave 1 l,,,"5,09 €",,"5,09 €/Litro"
Aceite Coosur oliva virgen extra 1 l,,,"5,45 €",,"5,45 €/Litro"
Aceite Dintel Toledo oliva intenso 1 l,,,"4,45 €",,"4,45 €/Litro"
Aceite Dintel Toledo oliva intenso 5 l,,,"22,00 €",,"4,40 €/Litro"
Aceite Dintel Toledo oliva suave 1 l,,,"4,45 €",,"4,45 €/Litro"
Aceite Dintel Toledo oliva suave 5 l,,,"22,00 €",,"4,40 €/Litro"
Aceite Flor de Olivo oliva virgen extra 1 l,,,"4,99 €",,"4,99 €/Litro"
Aceite Froiz oliva intenso 1 l,,,"4,79 €",,"4,79 €/Litro"
Aceite Froiz oliva suave 1 l,,,"4,79 €",,"4,79 €/Litro"
Aceite Froiz oliva virgen extra 1 l,,,"5,09 €",,"5,09 €/Litro"
Aceite Froiz oliva virgen extra 75 cl,,,"4,50 €",,"6,00 €/Litro"
Aceite Froiz orujo 1 l,,,"3,75 €",,"3,75 €/Litro"
Aceite Hojiblanca oliva virgen extra 3 l,,,"16,89 €",,"5,63 €/Litro"
Aceite Iznaoliva oliva virgen extra 75 cl,,,"4,85 €",,"6,47 €/Litro"
Aceite Koipe oliva sabor 1 l,,,"4,99 €",,"4,99 €/Litro"
Aceite La Masía oliva 0.4 suave 3 l,,,"14,95 €",,"4,98 €/Litro"
Aceite La Masía oliva clásico 1 l,,,"4,99 €",,"4,99 €/Litro"
Aceite La Masía oliva sumum 1 l,,,"4,99 €",,"4,99 €/Litro"
Aceite La Masía oliva sumum 3 l,,,"14,95 €",,"4,98 €/Litro"
Aceite La Masía oliva virgen extra 1 l,,,"5,69 €",,"5,69 €/Litro"
Aceite La Masía oliva virgen extra 3 l,,,"17,07 €",,"5,69 €/Litro"
Aceite La Masia sésamo ecológico 250 ml,,,"3,49 €",,"13,96 €/Litro"
Aceite Oro de Génave oliva virgen extra ecológico 50 cl,,,"4,89 €",,"9,78 €/Litro"
Aceite Ybarra oliva intenso 1 l,,,"4,99 €",,"4,99 €/Litro"
Aceite Ybarra oliva suave 1 l,,,"4,99 €",,"4,99 €/Litro"
Aceite Ybarra oliva suave 3 l,,,"14,95 €",,"4,98 €/Litro"
Aceite Ybarra oliva suave lata 5 l,,,"26,99 €",,"5,40 €/Litro"
Aceite Ybarra oliva virgen extra 1 l,,,"5,69 €",,"5,69 €/Litro"
Aceite Ybarra oliva virgen extra 250 ml,,,"2,45 €",,"9,80 €/Litro"
"Bolsa Aliño Ybarra aceite de oliva (5x10 ml), vinagre (5x10 ml) y sal (5x1 g)",,,"1,65 €",,"1,65 €/Unidad"
Aceite de semillas Abrilsem 5 l,,,"14,25 €",,"2,85 €/Litro"
Crema de vinagre Ybarra balsámica frambuesa 280 g,,,"2,39 €",,"8,54 €/Kilogramo"
Crema Froiz vinagre balsámico módena 280 g,,,"1,79 €",,"6,39 €/Kilogramo"
Crema Vinagre Pedro Ximénez Ybarra balsámico 560 g,,,"3,99 €",,"7,13 €/Kilogramo"
Reducción Vinagre de Módena Ponti 250 g,,,"2,99 €",,"11,96 €/Kilogramo"
Vinagre balsámico Módena Ponti 250 ml,,,"2,19 €",,"8,76 €/Litro"
Vinagre Borges balsámico bianco 250 ml,,,"1,99 €",,"7,96 €/Litro"
Vinagre Borges balsámico de módena 250 ml,,,"1,99 €",,"7,96 €/Litro"
Vinagre Carbonell 1 l,,,"0,89 €",,"0,89 €/Litro"
Vinagre Carbonell Procer vino 50 cl,,,"0,69 €",,"1,38 €/Litro"
Vinagre Froiz de vino 1 l,,,"0,55 €",,"0,55 €/Litro"
Vinagre Froiz manzana 1 l,,,"0,62 €",,"0,62 €/Litro"
Vinagre Froiz Módena 500 ml,,,"1,95 €",,"3,90 €/Litro"
Vinagre Froiz selection Jerez reserva 500 ml,,,"2,25 €",,"4,50 €/Litro"
Vinagre Froiz Sidra manzana 500 ml,,,"0,85 €",,"1,70 €/Litro"
Vinagre Froiz vino tinto 1 l,,,"0,65 €",,"0,65 €/Litro"
Vinagre Louit manzana ecológica 250 ml,,,"1,84 €",,"7,36 €/Litro"
Vinagre Santiveri de manzana 750 ml,,,"2,85 €",,"3,80 €/Kilogramo"
Zumo Solimón limón exprimido 100% 280 ml,,,"1,15 €",,"4,11 €/Litro"
Aceituna Jolca con hueso bolsa 100 g,,,"0,70 €",,"7,00 €/Kilogramo"
Aceitunas Carbonell sin hueso bolsa 70 g,,,"0,49 €",,"7,00 €/Kilogramo"
Aceitunas Froiz con hueso cristal 200 g,,,"1,05 €",,"5,25 €/Kilogramo"
Aceitunas Froiz con hueso cristal 500 g,,,"1,99 €",,"3,98 €/Kilogramo"
Aceitunas Froiz con hueso extra bolsa 100 g,,,"0,47 €",,"4,70 €/Kilogramo"
Aceitunas Froiz gazpacha con /hueso 200 g,,,"1,00 €",,"5,00 €/Kilogramo"
Aceitunas Froiz Gordal con hueso cristal 500 g,,,"2,65 €",,"5,30 €/Kilogramo"
Aceitunas Froiz negras con hueso 185 g,,,"0,90 €",,"4,86 €/Kilogramo"
Aceitunas Froiz negras sin hueso lata 150 g,,,"0,90 €",,"6,00 €/Kilogramo"
Aceitunas Froiz rellenas de anchoa 150 g,,,"0,90 €",,"6,00 €/Kilogramo"
Aceitunas Froiz rellenas de anchoa 3x50 g,,,"1,59 €",,"10,60 €/Kilogramo"
Aceitunas Froiz rellenas de anchoa lata 85 g,,,"0,79 €",,"9,29 €/Kilogramo"
Aceitunas Froiz rellenas de anchoa suaves bajo en sal 3x50 g,,,"1,69 €",,"11,27 €/Kilogramo"
Aceitunas Froiz rellenas de pimiento 150 g,,,"1,00 €",,"6,67 €/Kilogramo"
Aceitunas Froiz sin hueso cristal 160 g,,,"1,05 €",,"6,56 €/Kilogramo"
Aceitunas Froiz sin hueso cristal 400 g,,,"1,99 €",,"4,98 €/Kilogramo"
Aceitunas Froiz sin hueso extra bolsa 75 g,,,"0,47 €",,"6,27 €/Kilogramo"
Aceitunas Jolca gordal con hueso 100 g,,,"0,76 €",,"7,60 €/Kilogramo"
Aceitunas Jolca sin hueso bolsa 75 g,,,"0,70 €",,"9,33 €/Kilogramo"
Aceitunas La Española rellena de anchoa 150 g,,,"1,49 €","1,95 €","9,93 €/Kilogramo"
Aceitunas La Española rellena de anchoa 85 g,,,"1,25 €",,"14,71 €/Kilogramo"
Aceitunas La Española suave rellena de anchoa 130 g,,,"1,69 €",,"13,00 €/Kilogramo"
Aceitunas La Explanada negra rodaja 130 g,,,"0,95 €",,"7,31 €/Kilogramo"
Aceitunas La Explanada verde rodaja 130 g,,,"0,75 €",,"5,77 €/Kilogramo"
Aceitunas Lupy con sabor anchoa con hueso 550 g,,,"3,69 €",,"6,71 €/Kilogramo"
Aceitunas Lupy gordales picantes 550 g,,,"4,19 €",,"7,62 €/Kilogramo"
Aceitunas Rellenas de Anchoa Suaves FROIZ 35% Menos de Sal p.e. 150 g,,,"0,90 €",,"6,00 €/Kilogramo"
Aceitunas Serpis negras sin hueso 2x85 g,,,"2,39 €",,"14,06 €/Kilogramo"
Aceitunas Serpis rellena de anchoa extra 3x50 g,,,"2,79 €",,"18,60 €/Kilogramo"
Cóctel encurtidos Froiz con hueso 200 g,,,"1,05 €",,"5,25 €/Kilogramo"
Cóctel encurtidos Froiz con hueso 500 g,,,"2,35 €",,"4,70 €/Kilogramo"
Cóctel encurtidos Rioverde 180 g,,,"1,19 €","1,40 €","6,61 €/Kilogramo"
Alcaparras Helios en vinagre frasco 70 g,,,"1,00 €",,"14,29 €/Kilogramo"
Banderilla anchoa-boquerón Bruimar 95 g,,,"2,25 €",,"23,68 €/Kilogramo"
Banderillas Froiz picantes extra 150 g,,,"1,25 €",,"8,33 €/Kilogramo"
Banderillas Rioverde suave frasco 150 g,,,"1,89 €",,"12,60 €/Kilogramo"
Variantes Froiz primera 180 g,,,"0,94 €",,"5,22 €/Kilogramo"
Cebollitas Froiz blancas extra 180 g,,,"1,10 €",,"6,11 €/Kilogramo"
Aceituna deshuesada sabor anchoa 250g,,,"1,79 €",,"7,16 €/Kilogramo"
Aceituna Gordal sabor anchoa 300g,,,"2,59 €",,"8,63 €/Kilogramo"
Aceituna Manzanilla sabor anchoa 300g,,,"1,79 €",,"5,97 €/Kilogramo"
Aceituna negra 300g,,,"1,79 €",,"5,97 €/Kilogramo"
Aceituna Parda 300g,,,"1,59 €",,"5,30 €/Kilogramo"
Banderilla 275g,,,"1,99 €",,"7,24 €/Kilogramo"
Cebollitas 300g,,,"1,29 €",,"4,30 €/Kilogramo"
Kimbos 275g,,,"3,45 €",,"12,55 €/Kilogramo"
Pepinillo 300g,,,"1,39 €",,"4,63 €/Kilogramo"
Variantes 300g,,,"1,55 €",,"5,17 €/Kilogramo"
Guindilla Froiz extra 120 g,,,"1,19 €",,"9,92 €/Kilogramo"
Pepinillos Froiz sabor anchoa extra 180 g,,,"1,05 €",,"5,83 €/Kilogramo"
Pepinillos Froiz tradicionales extra 180 g,,,"0,85 €",,"4,72 €/Kilogramo"
Salmón Martiko ahumado marinado 80 g,,,"5,25 €",,"65,63 €/Kilogramo"
Galletas Cuétara Krititas 350 g,,,"3,29 €",,"9,40 €/Kilogramo"
Galletas Gullón Mini Cracker bote 350g,,,"1,39 €",,"3,97 €/Kilogramo"
Palomitas Froiz con sabor a mantequilla para microondas 3x100 g,,,"1,49 €",,"4,97 €/Kilogramo"
Palomitas Froiz de maiz con sabor a mantequilla 90 g,,,"0,84 €",,"9,33 €/Kilogramo"
Palomitas Froiz microondas con sal 3x100g,,,"1,22 €",,"4,07 €/Kilogramo"
Popitas al punto de sal P-3 300 g,,,"2,29 €",,"7,63 €/Kilogramo"
Popitas sal Zero P-3 210 g,,,"2,45 €",,"11,67 €/Kilogramo"
Lay's al punto de sal 160 g,,,"1,79 €",,"11,19 €/Kilogramo"
Lay's campesina 150 g,,,"1,95 €",,"13,00 €/Kilogramo"
Lay's Gourmet corte fino 150 g,,,"2,79 €",,"18,60 €/Kilogramo"
Lay's Gourmet sal 170 g,,,"2,79 €",,"16,41 €/Kilogramo"
Lay's Horno al punto de sal 150 g,,,"2,39 €",,"15,93 €/Kilogramo"
Lay's Mediterráneas artesanas 150 g,,,"2,49 €",,"16,60 €/Kilogramo"
Lay's Receta Campesina horno 130 g,,,"2,39 €",,"18,38 €/Kilogramo"
Lay's sal super ahorro 282 g,,,"2,52 €",,"8,94 €/Kilogramo"
Lay's vinagreta 150 g,,,"1,95 €",,"1,95 €/Unidad"
Patatas fritas Alteza campesina 150 g,,,"1,38 €",,"9,20 €/Kilogramo"
Patatas fritas Alteza estilo casero 2 u 300 g,,,"1,80 €",,"6,00 €/Kilogramo"
Patatas fritas Alteza extracrujientes 150 g,,,"1,25 €",,"8,33 €/Kilogramo"
Patatas fritas Alteza lisas 160 g,,,"0,89 €",,"5,56 €/Kilogramo"
Patatas fritas Alteza onduladas 160 g,,,"0,84 €",,"5,25 €/Kilogramo"
Patatas fritas Alteza onduladas jamón 150 g,,,"1,15 €",,"7,67 €/Kilogramo"
Patatas fritas Santa Ana 150 g,,,"1,59 €",,"10,60 €/Kilogramo"
Patatas fritas sartén A Casa Vella 150 g,,,"2,19 €",,"14,60 €/Kilogramo"
Patatas fritas sartén A Casa Vella sin sal 150 g,,,"2,19 €",,"14,60 €/Kilogramo"
Patatas fritas sartén Alteza receta estilo churrería 150 g,,,"1,00 €",,"6,67 €/Kilogramo"
Ruffles Matutano jamón 150 g,,,"1,95 €",,"13,00 €/Kilogramo"
Ruffles Matutano jamón XLB 295 g,,,"2,94 €",,"9,97 €/Kilogramo"
Ruffles Matutano original 160 g,,,"1,79 €",,"11,19 €/Kilogramo"
Ruffles Matutano sabor BBQ 130 g,,,"1,95 €",,"15,00 €/Kilogramo"
Ruffles york'eso Matutano 150 g,,,"1,95 €",,"1,95 €/Unidad"
Snack de patata Froiz 40% menos grasa 125 g,,,"0,92 €",,"7,36 €/Kilogramo"
Snack Patata Pringles original 165 g,,,"1,95 €",,"11,82 €/Kilogramo"
Snack Patata Pringles sour cream & onion 165g,,,"1,95 €",,"11,82 €/Kilogramo"
Aperitivo de maiz Aspil Aspitos 6 u 36 g,,,"1,07 €",,"29,72 €/Kilogramo"
Aperitivos de maiz Froiz 85 g,,,"0,80 €",,"9,41 €/Kilogramo"
Aperitivos Manchitos Tosfrit 38 g,,,"0,49 €",,"12,89 €/Kilogramo"
Aros de maíz Froiz 100 g,,,"0,79 €",,"7,90 €/Kilogramo"
Chaskis Facundo 100 g,,,"1,25 €",,"12,50 €/Kilogramo"
Chaskis Facundo barbacoa 100 g,,,"1,25 €",,"12,50 €/Kilogramo"
Cheetos Gustosines Matutano 96 g,,,"1,79 €",,"18,65 €/Kilogramo"
Cheetos Matutano stick 96 g,,,"1,79 €",,"18,65 €/Kilogramo"
Cheetos pandilla Drakis Matutano 75g,,,"1,79 €",,"23,87 €/Kilogramo"
Cheetos pelotazos Matutano 130 g,,,"1,79 €",,"13,77 €/Kilogramo"
Chips vegetales Garijo Baigorri en aceite de oliva 50 g,,,"0,75 €",,"15,00 €/Kilogramo"
Conos Lay's 3D original 100 g,,,"1,79 €",,"17,90 €/Kilogramo"
Cortezas de cerdo Froiz fritas 75 g,,,"0,70 €",,"9,33 €/Kilogramo"
Doritos Chilli Pepper Matutano 140 g,,,"1,95 €",,"13,93 €/Kilogramo"
Doritos Dippas Matutano original 180 g,,,"1,99 €",,"11,06 €/Kilogramo"
Doritos Matutano Tex-Mex 140 g,,,"1,95 €",,"13,93 €/Kilogramo"
Fritos Matutano barbacoa 146 g,,,"1,79 €",,"12,26 €/Kilogramo"
Lay's Bocabits Matutano 84 g,,,"1,79 €",,"21,31 €/Kilogramo"
Maíz Froiz frito tierno salado BBQ 150 g,,,"0,88 €",,"5,87 €/Kilogramo"
Matutano Mixups Favoritos queso 140 g,,,"1,79 €",,"12,79 €/Kilogramo"
Palitos de patata Froiz 90 g,,,"1,02 €",,"11,33 €/Kilogramo"
Palitos Froiz sabor queso 110 g,,,"0,83 €",,"7,55 €/Kilogramo"
Snack cocktail Froiz mix 250 g,,,"1,75 €",,"7,00 €/Kilogramo"
Snack Froiz conos bacon queso 100 g,,,"0,75 €",,"7,50 €/Kilogramo"
Snack Jumpers con sabor a mantequilla 100 g,,,"1,13 €",,"11,30 €/Kilogramo"
Snack maíz Takis Fuego XXL 140 g,,,"2,15 €",,"15,36 €/Kilogramo"
Snack maíz Takis sabor queso XXL 140g,,,"2,15 €",,"15,36 €/Kilogramo"
Sunbites Snack multicereal al toque de sal marina 95 g,,,"2,09 €",,"22,00 €/Kilogramo"
Tiras de maíz Alteza sabor BBQ 130 g,,,"0,61 €",,"4,69 €/Kilogramo"
Torreznos de cerdo Froiz 100 g,,,"1,17 €",,"11,70 €/Kilogramo"
Tortitas Bicentury arroz integral sabor yogur pack 4x2 130 g,,,"1,99 €",,"15,31 €/Kilogramo"
Tortitas Bicentury chocolate blanco con frutos rojos 131 g,,,"2,25 €",,"17,18 €/Kilogramo"
Tortitas Bicentury maíz 130 g,,,"1,49 €",,"11,46 €/Kilogramo"
Tortitas Bicentury maíz sabor BBQ 124 g,,,"2,09 €",,"16,85 €/Kilogramo"
"Tortitas Bicentury maíz setas, trufa y queso 124 g",,,"2,09 €",,"16,85 €/Kilogramo"
Tortitas Gullón maíz Vitalday 4x27.2 g,,,"1,35 €",,"12,39 €/Kilogramo"
Tortitas Gullón maíz Vitalday chocolate negro 4x25 g,,,"1,49 €",,"14,90 €/Kilogramo"
Tortitas Gullón Vitalday avena chocolate negro 4x20.5 g,,,"1,49 €",,"18,17 €/Kilogramo"
Tortitas Maíz Bicentury sabor Jamón Ibérico 124 g,,,"2,09 €",,"16,85 €/Kilogramo"
Tortitas Santiveri arroz integral Bio 100 g,,,"1,75 €",,"17,50 €/Kilogramo"
Tortitas Santiveri de arroz sin sal Bio 100 g,,,"1,75 €",,"17,50 €/Kilogramo"
Tortitas Santiveri de maíz Bio 130 g,,,"1,85 €",,"14,23 €/Kilogramo"
Tortitas Santiveri Espelta Bio 90 g,,,"1,75 €",,"19,44 €/Kilogramo"
Tortitas Santiveri espelta y chocolate negro Bio 3x34 g,,,"2,75 €",,"26,96 €/Kilogramo"
Tortitas Santiveri Espelta y Quinoa Bio 100 g,,,"1,75 €",,"17,50 €/Kilogramo"
Tortitas Santiveri Noglut arroz chocolate con leche 8 u 120 g,,,"2,39 €",,"19,92 €/Kilogramo"
Arroz Froiz bomba D.O.P. Delta del Ebro 1 kg,,,"2,60 €",,"2,60 €/Kilogramo"
Arroz Nomen Bomba 1 kg,,,"4,25 €",,"4,25 €/Kilogramo"
Arroz Nomen Bomba saco tela 1 kg,,,"5,73 €",,"5,73 €/Kilogramo"
Arroz Sos especial caldosos 500 g,,,"1,25 €",,"2,50 €/Kilogramo"
Arroz Sos especial ensaladas y guarniciones 500 g,,,"1,25 €",,"2,50 €/Kilogramo"
Arroz Sundari Thai Jasmine 500 g,,,"1,66 €",,"3,32 €/Kilogramo"
Arroz Brillante basmati 2x125g,,,"1,34 €",,"5,36 €/Kilogramo"
Arroz Froiz Basmati 1 kg,,,"2,49 €",,"2,49 €/Kilogramo"
Arroz Nomen Basmati 2x140 g,,,"1,79 €",,"6,39 €/Kilogramo"
Arroz Nomen basmati 500 g,,,"1,89 €",,"3,78 €/Kilogramo"
Arroz Brillante integral 2x125 g,,,"1,25 €",,"5,00 €/Kilogramo"
Arroz Nomen integral 1 kg,,,"1,79 €",,"1,79 €/Kilogramo"
Arroz Froiz largo superior 1 kg,,,"1,14 €",,"1,14 €/Kilogramo"
Arroz Sos largo 1 kg,,,"1,65 €",,"1,65 €/Kilogramo"
Arroz Brillante Sabroz Redondo 1 kg,,,"1,89 €",,"1,89 €/Kilogramo"
Arroz Brillante tradicional 2x125g,,,"1,25 €",,"5,00 €/Kilogramo"
Arroz Froiz extra D.O.P. Delta del Ebro 1 kg,,,"1,10 €",,"1,10 €/Kilogramo"
Arroz La Cigala 1 kg,,,"1,65 €","1,73 €","1,65 €/Kilogramo"
Arroz Nomen ecológico 1 kg,,,"3,41 €",,"3,41 €/Kilogramo"
Arroz Nomen extra 1 kg,,,"1,59 €",,"1,59 €/Kilogramo"
Arroz Nomen redondo 2x140 g,,,"1,69 €",,"6,04 €/Kilogramo"
Arroz Sos 1 kg,,,"1,64 €",,"1,64 €/Kilogramo"
Arroz Sos 500 g,,,"0,90 €",,"1,80 €/Kilogramo"
Arroz Sos Risotto 500 g,,,"1,25 €",,"2,50 €/Kilogramo"
Arroz Brillante 1 kg,,,"1,79 €",,"1,79 €/Kilogramo"
Arroz Brillante 500 g,,,"0,97 €",,"1,94 €/Kilogramo"
Quinoa Sos Vidasania 250 g,,,"1,75 €",,"7,00 €/Kilogramo"
Azúcar blanco Acor bolsa 1 kg,,,"1,49 €",,"1,49 €/Kilogramo"
Azúcar blanco Acor paquete 1 kg,,,"1,35 €",,"1,35 €/Kilogramo"
Azúcar Comasucar estuche fam.750 g,,,"2,19 €",,"2,92 €/Kilogramo"
Azucaritos blancos Azucarera caja 300g,,,"1,34 €",,"4,47 €/Kilogramo"
Azúcar Azucarera Glacé Dosificador 500 g,,,"2,39 €",,"4,78 €/Kilogramo"
Azúcar Comasucar moreno 1 kg,,,"1,60 €",,"1,60 €/Kilogramo"
Azúcar moreno de caña integral Moka Azucarera 500 g,,,"1,99 €",,"3,98 €/Kilogramo"
Azúcar Panela Alteza caña integral 500 g,,,"1,80 €",,"3,60 €/Kilogramo"
Azucaritos azúcar moreno Azucarera caja (50 sobres x 6 g) 300 g,,,"1,49 €",,"4,97 €/Kilogramo"
Edulcorante Froiz dosificador 650 comprimidos,,,"0,96 €",,"0,00 €/Unidad"
"Edulcorante Natreen 400 comprimidos 25,6g",,,"2,70 €",,"103,85 €/Kilogramo"
Edulcorante Eritritol Orinoco Doy pack 250 g,,,"3,99 €",,"15,96 €/Kilogramo"
Edulcorante Froiz mesa 60 sobres,,,"1,20 €",,"0,02 €/Bolsita"
Edulcorante stevia Alteza 60 sobres 60 g,,,"2,09 €",,"34,83 €/Kilogramo"
Edulcorante stevia Alteza bote 200 g,,,"3,20 €",,"16,00 €/Kilogramo"
Edulcorante Truvia 40 sobres 40 g,,,"2,15 €",,"53,75 €/Kilogramo"
Dulzol Santiveri líquido grande 90 cc,,,"2,39 €",,"2,66 €/Litro"
Edulcorante Froiz líquido 200 ml,,,"1,13 €",,"5,65 €/Litro"
Sirope de Agave Bio Alteza 350 g,,,"2,50 €",,"7,14 €/Kilogramo"
Stevia líquida Santiveri 90 ml,,,"4,45 €",,"49,44 €/Litro"
Bombón Lindt Nuxor Ballotin Dark 65 g,,,"2,99 €",,"46,00 €/Kilogramo"
Bombón Lindt Nuxor Ballotin leche 65 g,,,"2,99 €",,"46,00 €/Kilogramo"
Bombón Lindt Nuxor leche avellanas 165 g,,,"5,99 €",,"36,30 €/Kilogramo"
Bombones Alteza surtido bolsa 180 g,,,"1,69 €",,"9,39 €/Kilogramo"
"Bombones Ancano ""Piedras de Portomarín"" almendra y chocolate negro 300 g",,,"6,50 €",,"21,67 €/Kilogramo"
Bombones Ferrero Mon Cherí T-15 158 g,,,"4,49 €",,"28,42 €/Kilogramo"
Bombones Ferrero Mon Cherí T-16 168 g,,,"3,95 €",,"23,51 €/Kilogramo"
Bombones Ferrero Mon Cherí T-30 315 g,,,"7,89 €",,"25,05 €/Kilogramo"
Bombones Ferrero Mon Cherí T-5 52.5 g,,,"1,50 €",,"28,30 €/Kilogramo"
Bombones Ferrero Pocket Coffee T-18,,,"4,49 €",,"19,96 €/Kilogramo"
"Bombones Ferrero Pocket Coffee T5 62,5 g",,,"1,50 €",,"23,81 €/Kilogramo"
Bombones Ferrero Prestige T-21 246 g,,,"9,49 €",,"38,58 €/Kilogramo"
Bombones Ferrero Prestige T-28 329 g,,,"11,49 €",,"34,92 €/Kilogramo"
Bombones Ferrero Rafaello T -3 30 G,,,"1,50 €",,"50,00 €/Kilogramo"
Bombones Ferrero Raffaello T-15 150 g,,,"3,69 €",,"24,60 €/Kilogramo"
Bombones Ferrero Raffaello T.8 80 g,,,"1,99 €",,"24,88 €/Kilogramo"
Bombones Ferrero Rocher Collection T-15 172 g,,,"7,49 €",,"43,55 €/Kilogramo"
Bombones Ferrero Rocher Collection T-24 274 g,,,"11,49 €",,"41,93 €/Kilogramo"
Bombones Ferrero Rocher Origins T-15,,,"6,89 €",,"38,28 €/Kilogramo"
Bombones Ferrero Rocher T-16 200 g,,,"4,79 €","5,29 €","23,95 €/Kilogramo"
Bombones Ferrero Rocher T-24 300 g,,,"8,99 €",,"29,97 €/Kilogramo"
Bombones Ferrero Rocher T-3,,,"1,50 €",,"0,50 €/Unidad"
Bombones Ferrero Rocher T-30 375 g,,,"9,39 €",,"25,04 €/Kilogramo"
Bombones Ferrero Rondnoir T.14 141 g,,,"5,49 €",,"38,94 €/Kilogramo"
Bombones Lindor Cornet leche 200 g,,,"4,87 €",,"24,35 €/Kilogramo"
Bombones Lindt Dulces Deseos 345 g,,,"9,65 €",,"27,97 €/Kilogramo"
Bombones Nestlé caja roja 200 g,,,"5,25 €",,"26,25 €/Kilogramo"
Bombones Nestlé caja roja 400 g,,,"9,45 €",,"23,63 €/Kilogramo"
Bombones Nestlé caja roja 800 g,,,"16,98 €",,"21,23 €/Kilogramo"
Bombones Nestlé Dark Sublime 70% cacao 143 g,,,"4,79 €","5,75 €","33,50 €/Kilogramo"
Bombones Nestlé L'Atelier 186 g,,,"4,79 €","5,99 €","25,75 €/Kilogramo"
Bombones Trapa Guindas Licor Bolsa 120 g,,,"1,29 €",,"10,75 €/Kilogramo"
Bombones Valdelice surtido 400 g,,,"5,98 €",,"14,95 €/Kilogramo"
Bombones Valor Selección Oro 0% azúcares añadidos bote 200 g,,,"4,99 €",,"24,95 €/Kilogramo"
Marrón glacé Deleitum frasco 200 g,,,"6,75 €",,"33,75 €/Kilogramo"
Trufas Dulcinea Premier 200 g,,,"1,11 €",,"5,55 €/Kilogramo"
Cacao Cola Cao 0% original 325 g,,,"3,79 €",,"11,66 €/Kilogramo"
"Cacao Cola Cao 1,2 kg",,,"8,29 €",,"6,91 €/Kilogramo"
Cacao Cola Cao 2.5 kg,,,"14,95 €",,"5,98 €/Kilogramo"
Cacao Cola Cao 383 g,,,"3,29 €",,"8,59 €/Kilogramo"
Cacao Cola Cao 760 g,,,"5,69 €",,"7,49 €/Kilogramo"
Cacao Cola Cao estuche 6 sobres 108 g,,,"2,15 €",,"19,91 €/Kilogramo"
Cacao Cola Cao fibra 0% azúcares añadidos 300 g,,,"3,79 €",,"12,63 €/Kilogramo"
Cacao Cola Cao Noir 0% azúcares añadidos 300 g,,,"3,79 €",,"12,63 €/Kilogramo"
Cacao Froiz 100% puro 0% azúcares añadidos 400 g,,,"3,85 €",,"9,63 €/Kilogramo"
Cacao Froiz soluble 900 g,,,"2,49 €",,"2,77 €/Kilogramo"
Cacao Nesquik instantáneo 2.7 kg,,,"12,99 €",,"4,81 €/Kilogramo"
Cacao Nesquik instantáneo 390 g,,,"2,79 €",,"7,15 €/Kilogramo"
Cacao Nesquik instantáneo 700 g,,,"4,49 €",,"6,41 €/Kilogramo"
Cacao Nesquik polvo 0% azúcares añadidos 300 g,,,"3,29 €",,"10,97 €/Kilogramo"
Cacao Nesquik soluble bolsa 1200 g,,,"6,40 €",,"5,33 €/Kilogramo"
Cacao Valor puro 0% azúcares añadidos 250 g,,,"3,99 €",,"15,96 €/Kilogramo"
Cacao Valor Soluble Negro 100% 250 g,,,"3,99 €",,"15,96 €/Kilogramo"
Cacao Paladín a la taza Original 340 g,,,"2,79 €",,"8,21 €/Kilogramo"
