Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo,EAN
PRATO DE SOPA SAGRES VISTA ALEGRE PORCELANA BRANCO,VISTA ALEGRE,None,4.99€,4.99 €/un,None,5601266301174
ANTI-EMBACIANTE REDEX PISTOLA 500ML,REDEX,0.5 LT,3.49€,6.98 €/Lt,None,5010218213616
ARROZ CAROLINO LOURO EXTRA LONGO 1KG,LOURO,1KG,1.24€,1.24 €/Kg,None,5601537332739
CARIL MARGÃO FRASCO 42G,MARGÃO,0.04 KG,2.09€,52.25 €/Kg,None,5601063001413
PERNA DE PERÚ KG,MF,1.07 KG,4.49€,4.49 €/Kg,None,2830502000004
FARELO SALUTEM TRIGO 400G,SALUTEM,0.4 KG,1.19€,2.97 €/Kg,None,5601557002889
VINHO TINTO CASALEIRO TEJO 0.75L,CASALEIRO,0.75 LT,3.19€,2.99 €/Lt,2.24€,5601110110570
Batom Cuidado dos Lábios Original LABELLO 5 5 ml,LABELLO,5 ML,2.29€,2.29 €/un,None,4005900567840
QUEIJO PALHAIS GOURMET UN,PALHAIS,UN,4.59€,4.59 €/un,None,5602527589423
WHISKY BUSHMILLS BLACK BUSH 0.70L,BUSHMILLS,0.7 LT,24.99€,35.7 €/Lt,None,5055966810069
REFRIGERANTE JOI SEM GÁS LARANJA 1.5L,JOI,1.5 LT,1.90€,1.27 €/Lt,None,5601146230518
LINGUADO LEGÍTIMO KG,None,1 KG,19.99€,19.99 €/Kg,None,2850018000008
VINHO BRANCO GRANDJO MEIO DOCE DOURO 0.75L,GRANDJO,0.75 LT,5.69€,7.59 €/Lt,None,5601109211431
After Shave Bálsamo Sensitive NIVEA MEN 100 ml,NIVEA,0.1 LT,7.49€,74.9 €/Lt,None,4005900735690
APERITIVO RICARD 0.70L,RICARD,0.70L,16.49€,23.56 €/Lt,None,3163937011000
VINHO TINTO QUINTA DA ALORNA TEJO 0.75L,QTª DA ALORNA,0.75 LT,4.49€,3.85 €/Lt,2.89€,5601766300028
OREGÃOS MARGÃO MOÍDOS 33G,MARGÃO,0.03 KG,3.39€,113 €/Kg,None,5601063052323
Champô Sensitive Revitalizante Natur Vital 300ml,NATUR VITAL,0.3 LT,7.49€,24.97 €/Lt,None,8414002072903
DONUTS GLACÉ 4UN 200G,None,4UN,2.99€,14.95 €/Kg,None,8410022000025
After Shave Bálsamo Protect & Care NIVEA MEN 100 ml,NIVEA,0.1 LT,7.49€,59.9 €/Lt,5.99€,4005808221660
CENOURA FERBAR SALADA 345(180)G,FERBAR,0.345 KG,1.49€,4.32 €/Kg,None,5601319000276
PIMENTÃO MARGÃO DOCE COLORAU 100G,MARGÃO,0.1 KG,1.99€,19.9 €/Kg,None,5601063000850
PÊSSEGO FERBAR METADES 810 A 860G,FERBAR,860G,3.99€,4.87 €/Kg,None,5601319003185
VINHO PORTO OFFLEY LÁGRIMA 0.75L,OFFLEY,0.75L,5.89€,7.85 €/Lt,None,5601034004504
LULAS PITEU RECHEADAS 120(75)G,PITEU,0.12 KG,2.99€,24.92 €/Kg,None,5601029001273
TOSTA GRILL DIATOSTA INTEGRAL BOLSÃO 750G,DIATOSTA,0.75 KG,3.25€,4.33 €/Kg,None,5601560111295
CERA BÚFALO ACRÍLICA PARA TIJOLEIRA 500ML,BUFALO,0.5 LT,6.65€,9.32 €/Lt,4.66€,5601148135071
LIMPA VIDROS REDEX ROSA 2L,REDEX,2 LT,3.19€,1.6 €/Lt,None,5601214454358
SNACK DE CHOCOLATE KITKAT MINI 200 G,KIT KAT,0.2 KG,2.79€,13.95 €/Kg,None,5000189974579
