Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
Refrigerante C/ Gás Laranja S/ Adição Açúcar,FANTA,Garrafa 1.5 LT,"1,00€","0,67€ / LT",
SYOSS COLOR 6-8  LOURO ESCURO 16X3,SYOSS,,"8,98€",/ Unid.,
Iogurte Sólido Magro Natural 6 Unid.,LONGA VIDA,Emb. 0.12 KG,"2,09€","17,42€ / KG",
Refrigerante Mini C/ Gás Zero Cafeína Zero Açúcar Pack 12,COCA COLA ZERO,Emb. 1.8 LT,"5,63€","3,13€ / LT",
Nuggets de Frango 10 Unid.,CAPITÃO IGLO,Emb. 0.208 KG,"3,49€","16,78€ / KG",
Limpa Móveis Spray Lavanda,PRONTO,Emb. 0.3 LT,"4,78€","15,93€ / LT",
Bolachas Mini Cookies Tradicionais,NACIONAL,Emb. 0.12 KG,"1,44€","12,00€ / KG",
Amaciador Cabelo Brilho Extremo,VITANOVE,Emb. 0.2 LT,"1,07€","5,35€ / LT",
Mirtilo,,Emb. 0.125 KG,"1,99€","15,92€ / KG",
Iogurte Mix-in Kit Kat 2x115g,NESTLÉ,Emb. 0.23 KG,"2,09€","9,09€ / KG",
Drageias de Amendoins C/ Chocolate de Leite,MARQUE REPERE,Emb. 0.3 KG,"1,79€","5,97€ / KG",
Vinho Regional Tejo Meio Seco Rosé,LEZÍRIA,Garrafa 0.75 LT,"1,58€","2,11€ / LT",
Saladeira Branco Opaco 24cm,,1 UNID.,"2,50€","2,50€ / UNID.",
Cereais Bolacha Maria,NESTUM,Emb. 0.25 KG,"2,18€","8,72€ / KG",
Batatas Fritas Biológicas 6x30g,,Emb. 0.18 KG,"2,89€","16,06€ / KG",
Chá de Hortelã Pimenta e Poejo,,Emb. 25 SAQ.,"0,79€","0,03€ / SAQ.",
Pantene Frizz Control & Luminosidade Champô 250 ml,PANTENE PV,Emb. 0.25 LT,"4,98€","19,92€ / LT",
Dióspiro Persimmon,,1 Unid. = 0.25 KG (aprox.),"1,29€/kg","0,32€ / Unid.",
Vinho Rosé,COMP DO VINHO,Garrafa 0.75 LT,"2,19€","2,92€ / LT",
Recarga para Difusor Elétrico Campos de Lavanda,AMBIPUR,Emb. 1 UNID.,"4,99€","4,99€ / UNID.",
Bolachas Recheadas Creme de Chocolate,,Emb. 0.24 KG,"0,99€","4,13€ / KG",
Alimento Húmido P/ Gato Frango e Cenoura,GOURMET GOLD,Emb. 0.085 KG,"0,74€","8,71€ / KG",
Toalhitas Viagem,MOTS D'ENFANTS,Emb. 24 UNID.,"0,43€","0,02€ / UNID.",
Queijo Ralado 4 Queijos,PRÉSIDENT,Emb. 0.15 KG,"2,54€","16,93€ / KG",
"Café Solúvel Cevada, Chicória e Centeio",BRASA,Frasco 0.2 KG,"2,78€","13,90€ / KG",
GEL ALOE VERA BIO 200ML,BIONAÏA,Emb. 0.2 LT,"2,99€","14,95€ / LT",
Lava Tudo Brilhante Universal,SONASOL,Emb. 1.1 LT,"2,79€","2,54€ / LT",
Aperitivo Krit Krititas,CUÉTARA,Emb. 0.35 KG,"2,68€","7,66€ / KG",
Champô Cabelo Criança Alperce e Flor de Algodão,ULTRA SUAVE,Emb. 0.25 LT,"3,58€","14,32€ / LT",
COLORACAO PRETO 1.0 1UN VITANOVE,VITANOVE,Emb. 1,"3,89€","3,89€ /",
Desodorizante Spray Black & White Active,NIVEA,Emb. 0.15 L,"4,68€","31,20€ / L",
Gelatina Light Limão,ROYAL,Emb. 0.031 KG,"2,08€","67,10€ / KG",
Snack Chipz Maçã Canela FRUUT,,Emb. 0.02 KG,"0,98€","49,00€ / KG",
Creme Repara & Cuida Intensivo para Pele Extra Seca,NIVEA BODY,Emb. 0.3 LT,"6,89€","22,97€ / LT",
Puré Maçã S/ Açúcar 12 Unid.,DOUCEUR DU VERGER,Emb. 1.08 KG,"5,20€","4,81€ / KG",
PAO HAMBURGUER BRIOCHE,EPI D'OR,Emb. 0.3 KG,"0,99€","3,30€ / KG",
Snack P/ Gato Crispies C/ Sabor a Frango e Carne de Vaca,FELIX,Emb. 0.45 KG,"1,88€","4,18€ / KG",
PENSOS DIARIOS LONGOS,CHORYS,Emb. 24 UNID.,"1,59€","0,07€ / UNID.",
Limonada com Açúcar de Cana Biológica,,Garrafa 1 LT,"1,99€","1,99€ / LT",
SUN Tabs Classic Limão,,Emb. 32 DOSES,"3,49€","0,11€ / DOSES",
Conserva de Polvo com Alho,PITEU,Emb. 0.12 KG,"1,89€","15,75€ / KG",
Massa Farfalle Biológica,,Emb. 0.5 KG,"1,29€","2,58€ / KG",
Meloa Cantalupe,,1 Unid. = 1.34 KG (aprox.),"2,99€/kg","4,01€ / Unid.",
Vela Fragrância de Baunilha,AIR WICK,Emb. 0.32 KG,"2,84€","8,88€ / KG",
Bolachas Choco Minis,MILKA,Emb. 0.185 KG,"2,48€","13,41€ / KG",
Refrigerante sem Gás Maçã,JOI,Garrafa 1.5 LT,"1,04€","0,69€ / LT",
Johnson's Baby Champô de Camomila,JOHNSON'S BABY,Emb. 0.75 LT,"7,78€","10,37€ / LT",
Entrecosto de Porco Preto,,1 Unid. = 0.5 KG (aprox.),"5,49€/kg","2,75€ / Unid.",
Café Cápsulas Cioccolato,PLANTATION,Emb. 16 CAPS.,"2,44€","0,15€ / CAPS.",
Fiambre da Perna,CAMPO FINO,1 Unid. = 0.12 KG (aprox.),"7,98€/kg","0,96€ / Unid.",
Tablete Chocolate 70% Cacau Culinária,PANTAGRUEL,Emb. 0.2 KG,"2,83€","14,15€ / KG",
Snacks para Gato de Galinha,CATISFACTIONS,Emb. 0.06 KG,"1,88€","31,33€ / KG",
Licor Bailey´s,BAILEY'S,Garrafa 0.7 LT,"13,59€","19,41€ / LT",
Forma de Alumínio Redonda Castanha 26cm,ARDENCE,1 UNID.,"5,30€","5,30€ / UNID.",
Rebuçados Ácidos 4 Frutos,CONFISÉO,Emb. 0.4 KG,"1,53€","3,83€ / KG",
Mousse Caramelo 4 Unid.,DÉLISSE,Emb. 0.24 KG,"1,85€","7,71€ / KG",
AMBIENTADOR FRESHMATIC COM RECARGA LIFE SCENTS OÁSIS TURQUESA,AIRWICK,Emb. 1 UNID.,"7,19€","7,19€ / UNID.",
Gel de Banho,DOVE,Emb. 0.5 LT,"2,49€","4,98€ / LT",
