Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
Vinho Regional Alentejo Branco,MONSARAZ,Garrafa 0.75 LT,"2,99€","3,99€ / LT",
Tarte de Alho Frances,CÔTÉ TABLE,Emb. 0.4 KG,"1,95€","4,88€ / KG",
Preparado em Pó P/ Gelatina de Limão,ROYAL,Emb. 0.114 KG,"1,79€","15,70€ / KG",
Leite UHT Magro,MATINAL,Emb. 1 LT,"0,87€","0,87€ / LT",
Pão de Forma Grande,BIMBO,Emb. 0.375 KG,"1,84€","4,91€ / KG",
Miolo de Amêndoa S/ Pele,MARQUE REPERE,Emb. 0.225 KG,"3,81€","16,93€ / KG",
Filete Primavera com Alho e Ervas Aromáticas 2 Unid.,IGLO,Emb. 0.225 KG,"3,99€","17,73€ / KG",
Trident Fresh Drageias Pepperm,TRIDENT,Emb. 0.015 KG,"0,67€","44,67€ / KG",
Feijão Branco Seco,NOTRE JARDIN,Emb. 0.5 KG,"0,99€","1,98€ / KG",
Sobremesa Láctea de Alperce +6 Meses,BIO VILLAGE BEBE,Emb.0 0.4 KG,"2,29€","5,73€ / KG",
Bolachas Avenacol Rústica,CUÉTARA,Emb. 0.3 KG,"3,04€","10,13€ / KG",
Vinho Regional Alentejo Tinto,PORTAS DA HERDADE,Garrafa 0.75 LT,"2,79€","3,72€ / LT",
Elixir Mentol,LISTERINE,Emb. 0.05 LT,"5,99€","119,80€ / LT",
Farinha Rainha Especial P/ Bolos,NACIONAL,Emb. 1 KG,"1,23€","1,23€ / KG",
Gentil Lixívia para a Roupa a Cores e Delicada,NEOBLANC,Emb. 2 LT,"3,84€","1,92€ / LT",
Fonte 6L Authentic,SAN MIGUEL,Emb. 1 UNID.,"16,45€","16,45€ / UNID.",
Alimento Seco P/ Gatos Interior Frango,PURINA FRISKIES,Emb. 3 KG,"12,99€","4,33€ / KG",
"AQUAFRESH INTENSE CLEAN,,2x75ML",AQUAFRESH,,"3,99€",/ Unid.,
"KINDER BUENO CLASSICO, T2X4",KINDER BUENO,Emb. 0.172 KG,"2,44€","14,19€ / KG",
Champô Leite de Coco,HERBAL ESSENCES,Emb. 0.4 LT,"3,99€","9,98€ / LT",
Cereais Powerz,NACIONAL,Emb. 0.3 KG,"1,69€","5,63€ / KG",
Johnson's Baby Gold Champô,JOHNSON'S BABY,Emb. 0.5 LT,"5,59€","11,18€ / LT",
Miolo de Amêndoa Torrada,MARQUE REPERE,Emb. 0.2 KG,"3,99€","19,95€ / KG",
Caldo de Galinha,KNORR,Emb. 0.252 KG,"2,39€","9,48€ / KG",
Bolachas Maria 74% de Cereais,TRIUNFO,Emb. 0.2 KG,"1,09€","5,45€ / KG",
Cerveja Amber Lager 4x33cl,CORUJA,Emb. 1.32 L,"3,29€","2,49€ / L",
Lombo de Porco Preto,,1 Unid. = 0.5 KG (aprox.),"23,58€/kg","11,79€ / Unid.",
Tablete de Chocolate Preto com Pedaços de Amêndoas Torradas Biológico,,Emb. 0.1 KG,"1,99€","19,90€ / KG",
Alimento Seco P/ Gato Crunchy e Tender Salmão Atum,PURINA FRISKIES,Emb. 1.5 KG,"6,23€","4,15€ / KG",
Vinagre de Vinho Branco,RUSTICA,Garrafa 0.5 LT,"0,49€","0,98€ / LT",
ALGODAO DUO OVAL,INELL,Emb. 70 UNID.,"1,09€","0,02€ / UNID.",
Forma de Alumínio Charlotte Castanha 18cm,ARDENCE,1 UNID.,"4,95€","4,95€ / UNID.",
Pantene Purifica & Reconstrói Champô 250 ml,,Emb. 0.25 LT,"3,74€","14,96€ / LT",
"Cacaolat Zero Açúcares Adicionados Leite Cacau UHT 4x 0,20L",CACAOLAT,Emb. 4 UNID.,"2,09€","0,52€ / UNID.",
"Mistura de Triguilho, Quinoa Branca e Quinoa Vermelha",,Emb. 0.45 KG,"4,29€","9,53€ / KG",
Loção Spray Cocoa Radiante,VASELINE,Emb. 0.19 LT,"3,59€","18,89€ / LT",
ESPARGUETE,ECO+,Emb. 1 KG,"1,49€","1,49€ / KG",
Cereais Zero Flocos de Milho,NACIONAL,Emb. 0.375 KG,"1,74€","4,64€ / KG",
Ambientador Stick 2em1 Perfume Citrinos,BIEN AIR,Emb. 2 UNID.,"0,99€","0,50€ / UNID.",
DOCE FRAMBOESA LIGHT,DOUCEUR DU VERGER,Emb. 0.34 KG,"1,73€","5,09€ / KG",
Brioches com Recheio Chocolate 8Unid.,EPI D'OR,Emb. 0.31 KG,"2,29€","7,39€ / KG",
Proteção de Dentes e Gengivas Menta,LISTERINE,Emb. 0.25 LT,"3,99€","15,96€ / LT",
Glade Automatic Spray Recarga Relax Zen,GLADE,Emb. 0.269 LT,"3,59€","13,35€ / LT",
Infusão de Canela e Maça,LIPTON,Emb. 0.044 KG,"1,94€","44,09€ / KG",
Bálsamo Lábios Rosy,VASELINE,Emb. 0.017 KG,"2,99€","175,88€ / KG",
DETERGENTE GEL EXPRESS - TIRA NODOAS 2EM1,EPSIL,Emb. 0.25 LT,"1,69€","6,76€ / LT",
Recarga Espanador,PRONTO,Emb. 5 UNID.,"4,46€","0,89€ / UNID.",
Lenços de Bolso Pure Sensitive 4 Folhas,RENOVA,Emb. 6 UNID.,"0,99€","0,17€ / UNID.",
Limpeza Móveis Classic Protege,PRONTO,Spray 0.3 LT,"3,88€","12,93€ / LT",
BEBIDA SOJA FRUTOS VERMELHOS 3x250ML,ALPRO,Emb. 0.75 LT,"1,79€","2,39€ / LT",
"ATUM FILET MANJERICÃO&TOMATE SECO, 120G",TENÓRIO,Emb. 0.12 KG,"2,29€","19,08€ / KG",
Massa Cotovelinhos,ECO+,Emb. 0.5 KG,"0,65€","1,30€ / KG",
Farinha Láctea,MOTS D'ENFANTS,Emb. 1 KG,"4,40€","4,40€ / KG",
BOLACHAS PEQUENO ALMOCO CHOCOLATE,P'TIT DÉLI,Emb. 0.6 KG,"2,98€","4,97€ / KG",
AUSONIA AIRDRY NOITE ABAS 24,AUSONIA,Emb. 24 UNID.,"4,24€","0,18€ / UNID.",
Sabonete Glicerina Hidratante,PALMOLIVE,Emb. 0.09 KG,"0,74€","8,22€ / KG",
Iogurte de Pêra 4 Unid.,IOGOLINO,Emb. 0.4 KG,"2,28€","5,70€ / KG",
Salpicão Tradicional,FUMEIROS DA GUARDA,Emb. 0.3 KG,"4,24€","14,13€ / KG",
Molho Béchamel,RUSTICA,Emb. 0.5 LT,"1,62€","3,24€ / LT",
