Nome,Preço,Preço/Kg
DIA SABOR CHARCUTEIRO Salame 120 g,"1,25 €","10,42 €/Kg"
DIA SABOR CHARCUTEIRO Presunto Fatiado 150 g,"2,79 €","18,60 €/Kg"
FRUTORRA Amendoins com Casca 1 kg,"4,99 €","4,99 €/Kg"
SNOCK Cenouras Baby 125 g,"1,09 €","8,72 €/Kg"
FRUTORRA Cocktail de Frutos Secos 250 g,"2,19 €","8,76 €/Kg"
CAMPOFRIO Salsichas Frankfurt Original Vácuo 140 g,"0,99 €","7,07 €/Kg"
DAMATTA Morcela 200 g,"2,15 €","10,75 €/Kg"
CAMPOFRIO Tapas Salsichão Fatias 80 g,"1,89 €","23,63 €/Kg"
CAMPOFRIO Tapas Chouriço Gran Doblón Fatias 80 g,"1,89 €","23,63 €/Kg"
CAMPOFRIO Tapas Salame Palaciego Fatias 80 g,"1,89 €","23,63 €/Kg"
AVIBOM Strogonoff de Frango 400 g,"3,69 €","9,23 €/Kg"
FRUUT Maçã com Canela 20 g,"0,99 €","49,50 €/Kg"
FRUUT Pêra Rocha 20 g,"0,85 €","42,50 €/Kg"
RIBERALVES Filete do Paloco do Pacífico 400 g,"4,19 €","10,48 €/Kg"
Kiwi Amarelo Embalado 400 g,"2,99 €","7,48 €/Kg"
Maracujá (1 un = 60 g aprox),"0,48 €","7,99 €/Kg"
CAMPOFRIO Fiambre de Frango Fatias Clássicas 90 g,"1,30 €","14,44 €/Kg"
CORTE DO DIA Bifinhos Do Cachaço de Porco Embalados 400 g,"3,45 €","8,63 €/Kg"
FRUUT Chipz Maçã 20 g,"0,85 €","42,50 €/Kg"
PRISCA Barriga Fumada 150 g,"3,85 €","25,67 €/Kg"
Dióspiro (1 un = 220 g aprox),"0,99 €","4,49 €/Kg"
Anona (1 un = 270 g aprox),"0,81 €","2,99 €/Kg"
RANA Folhas Para Lasanha 250 g,"2,69 €","10,76 €/Kg"
RANA Tortellini Fiambre e Queijo 250 g,"3,29 €","13,16 €/Kg"
Abóbora Halloween (1 un = 1740 g aprox),"2,59 €","1,49 €/Kg"
DAMATTA Chourição Castelhano Fatias Finas 120 g,"2,99 €","24,92 €/Kg"
Castanha,"5,99 €","5,99 €/Kg"
DOROTEA Tremoço Embalado 300 g,"1,20 €","4,00 €/Kg"
DOROTEA Azeitona Do Alentejo Moura 300 g,"1,69 €","5,63 €/Kg"
NOBRE Cuita-t+ Fiambre da Perna Extra Fatias Finas 110 g,"2,69 €","24,45 €/Kg"
Banana Biológica Embalada (1 un = 1680 g aprox),"3,34 €","1,99 €/Kg"
NOBRE Paio Lombo Fatias 100 g,"2,69 €","26,90 €/Kg"
Noz do Alentejo Com Casca Embalada 500 g,"4,49 €","8,98 €/Kg"
Frango Para Churrasco Embalado (1 un = 1215 g aprox),"4,36 €","3,59 €/Kg"
VITACRESS Espinafre Biológico Embalado 150 g,"2,29 €","15,27 €/Kg"
Beterraba (1 un = 355 g aprox),"0,64 €","1,79 €/Kg"
FRUTOS SECOS DO DIA Tâmaras 200 g,"1,39 €","6,95 €/Kg"
FRUTOS SECOS DO DIA Miolo de Amêndoa Sem Pele 200 g,"2,99 €","14,95 €/Kg"
Alface Iceberg Embalada (1 un = 635 g aprox),"1,89 €","2,98 €/Kg"
Bimi Embalado 200 g,"1,99 €","9,95 €/Kg"
Malagueta Embalada 100 g,"1,39 €","13,90 €/Kg"
AVIBOM Pato Desfiado Cozido com Caldo Embalado 600 g,"9,99 €","16,65 €/Kg"
FRUTOS SECOS DO DIA Caju Cru Natural 150 g,"2,19 €","14,60 €/Kg"
DAMATTA Chouriço Beirão 225 g,"3,29 €","14,62 €/Kg"
DAMATTA Chouriço Transmontano 225 g,"3,29 €","14,62 €/Kg"
IZIDORO Fatias Finas Peito de Frango Forno de Lenha 110 g,"2,20 €","20,00 €/Kg"
IZIDORO Fatias Finas Peito de Peru Forno de Lenha 110 g,"2,20 €","20,00 €/Kg"
Rabos de Bacalhau 700 g,"6,59 €","9,41 €/Kg"
FRUTOS SECOS DO DIA Cocktail Frutos Secos 150 g,"2,99 €","19,93 €/Kg"
"FRUUT Mix Maçã Desidratada, Amêndoa e Coco 30 g","0,99 €","33,00 €/Kg"
FRUUT Mix Maçã Desidratada e Amendoim 40 g,"0,99 €","24,75 €/Kg"
EVARISTO Azeitona Retalhada Natural Embalada 300 g,"2,29 €","7,63 €/Kg"
AVIBOM Frango Cozido Desfiado 350 g,"4,19 €","11,97 €/Kg"
DIA SABOR CHARCUTEIRO Chouriço Corrente 400 g,"2,29 €","5,73 €/Kg"
NOEL Presunto Serrano All Natural 100 g,"2,47 €","24,70 €/Kg"
NOEL Salsichão 100 g,"1,75 €","17,50 €/Kg"
NOEL Lombo 120 g,"2,55 €","21,25 €/Kg"
NOEL Presunto Serrano 120 g,"3,09 €","25,75 €/Kg"
DIA SABOR CHARCUTEIRO Naco de Presunto 9M Cura 250 g,"3,09 €","12,36 €/Kg"
NOEL Fuet 170 g,"1,83 €","10,76 €/Kg"
NOEL Chouriço Delizias  100 g,"1,75 €","17,50 €/Kg"
