NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
DIA TEMPTATION Gelado Bombom Limão 3x100 ml,,,"1,65 €","5,50 €/l",,,
MARFRESCO Sardinha Congelada 700 g,,,"3,79 €","5,41 €/Kg",,,
MARFRESCO Posta de Pescada 700 g,,,"4,99 €","7,13 €/Kg",,,
DIA Pizza Forno di Petra Royale 400 g,,,"3,29 €","8,23 €/Kg",,,
SUPERMAXI Gelados 6x65 ml,,,"4,99 €","12,79 €/l",,,
DIA DOCE NO LAR Crepes Simples 1 kg,,,"4,89 €","4,89 €/Kg",,,
COZINHA PRONTA Francesinha 400 g,,,"4,29 €","10,73 €/Kg",,,
PESCANOVA Argolas do Mar 400 g,,,"2,99 €","7,48 €/Kg",,,
IGLO Big Burger de Frango 227 g,,,"3,49 €","15,37 €/Kg",,,
DR. OETKER Casa Di Mama Pizza Salame 390 g,,,"3,99 €","10,23 €/Kg",,,
DR. OETKER Pizza Tradizionale Speciale 400 g,,,"5,49 €","13,73 €/Kg",,,
IGLO Barrinhas Forníssimo Douradinhos 300 g,,,"6,99 €","23,30 €/Kg",,,
IGLO Hamburgueres de Vaca sem  Glúten 8 Un,,,"7,49 €","11,70 €/Kg",,,
DIA É TÃO FISH Posta de Pescada nº5 para Cozer 800 g,,,"5,82 €","7,28 €/Kg",,,
IGLO Hambúrguer de Frango Sem Glúten 8 Un,,,"7,49 €","15,60 €/Kg",,,
IGLO Douradinhos de Peixe 15 Un,,,"7,14 €","17,00 €/Kg",,,
MAGNUM Gelados Multipack Magnum Mini Double Caramelo e Chocolate 6x60 ml,,,"5,99 €","16,64 €/l",,,
IGLO Crocantes de Frango Original 2 un,,,"3,74 €","20,78 €/Kg",,,
IGLO Crocantes de Frango Parmesão E Ervas 2 un,,,"3,74 €","20,78 €/Kg",,,
BEN&JERRY Gelado Peanut Butter 465 ml,,,"6,79 €","14,60 €/l",,,
DIA SIMPRATICO Hambúrguer de Porco Sem Glúten 8 Un,,,"5,20 €","8,67 €/Kg",,,
DIA SIMPRATICO Hambúrguer de Bovino Sem Glúten 1 kg,,,"7,20 €","7,20 €/Kg",,,
IGLO Nuggets de Frango & Queijo 10 Un,,,"5,99 €","28,80 €/Kg",,,
DIA MARI MARINHEIRA Miolo de Mexilhão 250 g,,,"2,05 €","8,20 €/Kg",,,
PESCANOVA Preparado Para Mariscada sem Glúten 500 g,,,"4,19 €","8,38 €/Kg",,,
PESCANOVA Delícias com Forma de Lagosta 255 g,,,"2,09 €","8,20 €/Kg",,,
IGLO Douradinhos de Peixe Estaladiços 12 Un,,,"4,99 €","13,63 €/Kg",,,
IGLO Veggie Bowls De Quinoa E Abóbora 350 g,,,"2,99 €","8,54 €/Kg",,,
CRISTAL ICE Gelo Picado 2 kg,,,"1,99 €","1,00 €/Kg",,,
BRASMAR Caldeirada de Peixe 700 g,,,"5,29 €","7,56 €/Kg",,,
IGLO Veggie Bowls Trigo Sarraceno 350 g,,,"2,99 €","8,54 €/Kg",,,
BUITONI Pizza Forno Di Piedra Caprese 350 g,,,"3,19 €","9,11 €/Kg",,,
BUITONI Pizza Forno Di Piedra Fiambre e Cogumelos 340 g,,,"3,19 €","9,38 €/Kg",,,
IGLO Nuggets Americanos 38 un,,,"8,99 €","12,90 €/Kg",,,
PESCANOVA Muslitos do Mar 250 g,,,"1,85 €","7,40 €/Kg",,,
RIBERALVES Lombos de Bacalhau 4 Meses de Cura 550 g,,,"11,69 €","21,25 €/Kg",,,
PESCANOVA Filetes de Pescada Panados com Ervas 400 g,,,"4,49 €","11,23 €/Kg",,,
MARFRESCO Camarão Madagáscar 30/40 400 g,,,"8,99 €","22,48 €/Kg",,,
RIBERALVES Posta Tradicional Bacalhau 4 Meses Cura 750 g,,,"11,69 €","15,59 €/Kg",,,
DIA Pizza Especial 360 g,,,"3,18 €","8,83 €/Kg",,,
IGLO Filetes Primavera Quinoa e 4 Sementes 250 g,,,"4,99 €","19,96 €/Kg",,,
MARFRESCO Posta de Perca do Nilo (1 un = 345 g aprox),,,"3,79 €","10,99 €/Kg",,,
MARFRESCO Red Fish 300/500 (1 un = 410 g aprox),,,"2,74 €","6,69 €/Kg",,,
BRASMAR Camarão 20/30,,,"12,99 €","12,99 €/Kg",,,
MARFRESCO Posta de Pescada Nº5 (1 un = 195 g aprox),,,"1,60 €","8,19 €/Kg",,,
"PESCANOVA Barrinhas de Pescada 1,2 kg",,,"7,89 €","6,58 €/Kg",,,
BEIRANOVA Tentáculos de Pota 800 g,,,"5,99 €","7,49 €/Kg",,,
MAGNUM Gelado Multipack Magnum Amêndoas 4x110 ml,,,"4,99 €","11,34 €/l",,,
DIA TEMPTATION Gelado de Menta Com Chocolate 500 ml,,,"2,39 €","4,78 €/l",,,
DIA TEMPTATION Gelado Strawberry Cheesecake 500 ml,,,"2,69 €","5,38 €/l",,,
DIA TEMPTATION Gelados Cones com Sabor Nata e Chocolate 6x110 ml,,,"1,79 €","2,71 €/l",,,
DIA TEMPTATION Gelado Cones Sabor Nata E Caramelo 6x110 ml,,,"1,79 €","2,71 €/l",,,
DIA TEMPTATION Gelado Cones Sabor Nata 6x68 g,,,"1,79 €","2,71 €/l",,,
DIA TEMPTATION Sorvete de Iogurte de Morango 6x60 ml,,,"2,15 €","5,97 €/l",,,
DIA TEMPTATION Gelados Mini 4 Sabores 12x36 g,,,"2,59 €","4,32 €/l",,,
DIA VEGECAMPO Ervilhas 1 kg,,,"1,49 €","1,49 €/Kg",,,
PESCANOVA Lombos Bacalhau Atlântico 600 g,,,"14,49 €","24,15 €/Kg",,,
PESCANOVA Medalhões de Pescada 400 g,,,"4,99 €","12,48 €/Kg",,,
DIA VEGECAMPO Jardineira 1 kg,,,"1,18 €","1,18 €/Kg",,,
DIA VEGECAMPO Feijão Verde Plano 1 kg,,,"2,16 €","2,16 €/Kg",,,
DIA MARI MARINHEIRA Muslitos do Mar 250 g,,,"1,85 €","7,40 €/Kg",,,
DIA TEMPTATION Gelados Multipack Big de Chocolate de Leite 4X120 ml,,,"1,85 €","3,85 €/l",,,
PESCANOVA Miolo de Camarão 350 g,,,"7,19 €","20,54 €/Kg",,,
DIA PRA JÁ! Lasanha Bolonhesa 500 g,,,"2,39 €","4,78 €/Kg",,,
"DIA BATATAS UNIDAS Batata Pré-Frita 2,5 kg",,,"4,65 €","1,86 €/Kg",,,
CARTE D'OR Gelado de Stracciatela 900 ml,,,"5,49 €","6,10 €/l",,,
DIA DELI SALGADO Pastéis de Bacalhau 12 Un,,,"1,93 €","5,51 €/Kg","2,39 €","6,83 €/Kg",
DIA DELI SALGADO Rissóis de Camarão 8 Un,,,"1,41 €","4,03 €/Kg",,,
DIA DELI SALGADO Croquetes de Carne 12 Un,,,"1,87 €","5,34 €/Kg",,,
DIA PRA JÁ! Bacalhau À Brás 300 g,,,"2,39 €","7,97 €/Kg",,,
DIA (A) MAR À VISTA Posta Média Bacalhau Demolhado Ultracongelado 800 g,,,"6,59 €","8,24 €/Kg",,,
