NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
PÁLA-PÁLA Batata Frita Rodelas 180 g,,,"1,69 €","9,39 €/Kg",,,
NOBRE Frankfurt Salsichas Lata 10 Un,,,"1,79 €","4,71 €/Kg",,,
DIA Molho Carbonara 40 g,,,"1,05 €","26,25 €/Kg",,,
DIA Molho Cogumelos 40 g,,,"1,05 €","26,25 €/Kg",,,
CAÇAROLA Arroz Agulha 1 kg,,,"1,43 €","1,43 €/Kg",,,
UMA PITADA! Tempero Para Frango 200 g,,,"1,10 €","5,50 €/Kg",,,
KNORR Caldo Para Arroz 8 Un,,,"2,15 €","26,88 €/Kg",,,
DIA AL PUNTO Mão De Vaca Com Grão 420 g,,,"1,95 €","4,64 €/Kg",,,
Noz com Casca,,,"5,49 €","5,49 €/Kg",,,
LA PIARA Paté de Atum em Óleo Vegetal 75 g,,,"1,69 €","22,53 €/Kg",,,
DIA AL DIANTE Massa Letras 250 g,,,"0,65 €","2,60 €/Kg",,,
DIA MARI MARINHEIRA Atum Em Óleo de Girassol 385 g,,,"2,69 €","6,99 €/Kg",,,
SALUDÃES Arroz Carolino 1 kg,,,"1,29 €","1,29 €/Kg",,,
DIA AL DIANTE Linguini 500 g,,,"1,29 €","2,58 €/Kg",,,
DIA AL DIANTE Placas de Lasanha 500 g,,,"1,76 €","3,52 €/Kg",,,
DIA Caldo de Peixe 85 g,,,"0,65 €","7,65 €/Kg",,,
DIA Caldo de Legumes 85 g,,,"0,65 €","7,65 €/Kg",,,
MILANEZA Esparguete Tricolor 500 g,,,"2,15 €","4,30 €/Kg",,,
DIA Piri Piri 40 g,,,"0,69 €","17,25 €/Kg",,,
DIA Açafrão Das Índias 45 g,,,"0,75 €","16,67 €/Kg",,,
DIA Polpa de Tomate Brick 3x210 g,,,"1,33 €","2,11 €/Kg",,,
MARGÃO Moinho de 5 Bagas 24 g,,,"4,49 €","187,08 €/Kg",,,
FRIGI Óleo Alimentar 1 L,,,"3,39 €","3,39 €/l",,,
MILANEZA Cannelloni 250 g,,,"1,79 €","7,16 €/Kg",,,
COMPAL Feijão Frade Cozido 410 g,,,"1,29 €","3,15 €/Kg",,,
COMPAL Grão de Bico Cozido 410 g,,,"1,29 €","3,15 €/Kg",,,
LAY'S Batata Frita Forno 150 g,,,"1,31 €","8,73 €/Kg",,,
DIA SELEÇÃO MUNDIAL Vinagre Balsâmico 500 ml,,,"2,05 €","4,10 €/l",,,
DIA Caldo Tempero Alho e Coentros 8 un,,,"1,25 €","0,16 €/ud",,,
"DIA Caldo Tempero Alho, Louro e Pimentão 8 un",,,"1,25 €","0,16 €/ud",,,
DIA Creme Vinagre Balsâmico de Modena 250 ml,,,"1,74 €","6,96 €/l",,,
DIA VIVOLIVA Azeite DOP Moura 750 ml,,,"4,45 €","5,93 €/l",,,
TENÓRIO Filetes de Atum em Azeite 120 g,,,"2,01 €","16,75 €/Kg",,,
FRUTOS SECOS DO DIA Banana Frita Embalada 200 g,,,"1,54 €","7,70 €/Kg",,,
FRUTOS SECOS DO DIA Fava Frita Embalada 200 g,,,"1,54 €","7,70 €/Kg",,,
MATUTANO Caju Tostados No Forno 170 g,,,"4,99 €","29,35 €/Kg",,,
MATUTANO Amendoins Tostados No Forno 200 g,,,"2,29 €","11,45 €/Kg",,,
MARGÃO Canela Em Pau 30 g,,,"2,79 €","93,00 €/Kg",,,
RAMIREZ Filetes de Sardinha Em Azeite 100 g,,,"1,79 €","17,90 €/Kg",,,
