NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
KELLOG'S Barras Cereais Chocolate 129 g,KELLOG,,"3,79 €","29,38 €/Kg",,,
"SPECIAL K Barras de Cereais com Frutos Vermelhos 6x21,5 g",SPECIAL,,"3,79 €","29,38 €/Kg",,,
SUGUS Morango 45 g,SUGUS,,"1,09 €","24,22 €/Kg",,,
LIPTON Chá Verde Pure 20 Un,LIPTON,,"2,19 €","0,11 €/ud",,,
TWIX Snack Chocolate 50 g,TWIX,,"1,05 €","21,00 €/Kg",,,
CADBURY Chocolate Dairy Milk 45 g,CADBURY,,"0,99 €","22,00 €/Kg",,,
DIA TEMPTATION Creme de Barrar com Avelã 750 g,DIA TEMPTATION,,"3,84 €","5,12 €/Kg",,,
NESCAFÉ Cappuccino Café Solúvel 125 g,NESCAF,,"3,19 €","25,52 €/Kg",,,
DIA HORA + DOCE Pudim Caramelo 90 g,DIA HORA DOCE,,"0,46 €","5,11 €/Kg",,,
SNICKERS Chocolate 170 g,SNICKERS,,"2,89 €","17,00 €/Kg",,,
TOFINA Bebida de Cereais Cevada Chicória e Café 200 g,TOFINA,,"2,79 €","13,95 €/Kg",,,
NESCAFÉ GOLD Café Solúvel 100 g,NESCAF GOLD,,"5,69 €","56,90 €/Kg",,,
BICENTURY Tortitas de Arroz com Choco Negro 130 g,BICENTURY,,"2,49 €","19,15 €/Kg",,,
GOLDEN GRAHAMS Barras de Cereais de Trigo Integral com Leite Nestlé 150 g,GOLDEN GRAHAMS,,"3,29 €","21,93 €/Kg",,,
"MALTESERS Drageias de Chocolate 148,5",MALTESERS,,"3,69 €","24,85 €/Kg",,,
GULLÓN Zero Sem Açúcares Fibra 170 g,GULL,,"2,84 €","16,71 €/Kg",,,
COOKIE CRISP Cereais com Pepitas de Chocolate Nestlé 375 g,COOKIE CRISP,,"3,89 €","10,37 €/Kg",,,
KINDER SURPRESA Ovo Chocolate 3x20 g,KINDER SURPRESA,,"3,55 €","59,17 €/Kg",,,
LIPTON Chá Marocco 20 un,LIPTON,,"1,94 €","0,10 €/ud",,,
CHOCAPIC Cereais de Chocolate Nestlé 625 g,CHOCAPIC,,"3,51 €","5,62 €/Kg",,,
BOLERO Bebida de Cereais e Fibra 200 g,BOLERO,,"2,39 €","11,95 €/Kg",,,
CASA DE MATEUS Doce de Tomate 345 g,CASA DE MATEUS,,"2,24 €","6,49 €/Kg",,,
NESQUIK Barras de Cereais de Chocolate com Leite Nestlé 150 g,NESQUIK,,"3,29 €","21,93 €/Kg",,,
MENTOS Pastilhas Elásticas Gum Pocket Frutos Silvestres 30 g,MENTOS,,"1,85 €","61,67 €/Kg",,,
GULLÓN Bolachas Digestivas de Aveia e Chocolate 425 g,GULL,,"2,94 €","6,92 €/Kg",,,
