NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
DIA SIMPRATICO Hambúrguer de Bovino Sem Glúten 1 kg,DIA SIMPRATICO,,"7,20 €","7,20 €/Kg",,,
CEM PORCENTO Chocolate Negro com Stevia 100 g,CEM PORCENTO,,"2,49 €","24,90 €/Kg",,,
SICAL Café Torrado 5 estrelas Lote Tradição Moagem Universal 250 g,SICAL,,"3,49 €","13,96 €/Kg",,,
BECEL Pro Active Sabor Manteiga 225 g,BECEL,,"2,39 €","10,62 €/Kg","3,99 €","17,73 €/Kg",
PESCANOVA Preparado Para Mariscada sem Glúten 500 g,PESCANOVA,,"4,19 €","8,38 €/Kg",,,
CRUNCH Chocolate Dark Nestlé 100 g,CRUNCH,,"1,99 €","19,90 €/Kg",,,
SHOYCE Bebida de Arroz 0% 200 ml,SHOYCE,,"0,48 €","2,40 €/l","0,60 €","3,00 €/l",
DIA VITAL Bebida de Arroz 1 L,DIA VITAL,,"1,53 €","1,53 €/l",,,
DIA TEMPTATION Sortido de Bombons Sem Açúcar 300 g,DIA TEMPTATION,,"4,99 €","16,63 €/Kg",,,
DIA TEMPTATION Trufas Belgas Cacau 250 g,DIA TEMPTATION,,"2,19 €","8,76 €/Kg",,,
DIA Topping Cobertura De Morango 295 g,DIA,,"2,19 €","7,42 €/Kg",,,
DIA Topping Cobertura de Chocolate 295 g,DIA,,"2,45 €","8,31 €/Kg",,,
DIA Amendoins Cobertos de Chocolate 250 g,DIA,,"2,00 €","8,00 €/Kg",,,
YOGOLINO Alperce Nestlé 4x100 g,YOGOLINO,,"2,89 €","7,23 €/Kg",,,
NESTLÉ Fruta para Bebé Maçã e Pera +4 Meses 4x100 g,NESTL,,"3,29 €","8,23 €/Kg",,,
BLÉDINA Frutapura Ameixa e Maçã 4x95 g,BL DINA,,"2,79 €","7,34 €/Kg",,,
DIA LÁCTEA Iogurte Liquido Morango E Banana 1 kg,DIA CTEA,,"1,65 €","1,65 €/Kg",,,
NESCAFÉ Galão Café Solúvel 8x17 g,NESCAF,,"2,99 €","21,99 €/Kg",,,
CRUNCH Tablete de Chocolate Branco 100 g,CRUNCH,,"2,05 €","20,50 €/Kg",,,
DIA TEMPTATION Sorvete de Iogurte de Morango 6x60 ml,DIA TEMPTATION,,"2,15 €","5,97 €/l",,,
DIA TEMPTATION Gelados Mini 4 Sabores 12x36 g,DIA TEMPTATION,,"2,59 €","4,32 €/l",,,
DIA Chocolate Branco 100 g,DIA,,"0,71 €","7,10 €/Kg",,,
DIA SABOR CHARCUTEIRO Bacon Fatias 200 g,DIA SABOR CHARCUTEIRO,,"2,09 €","10,45 €/Kg",,,
DIA VITAL Bebida de Soja Natural 1 L,DIA VITAL,,"1,02 €","1,02 €/l",,,
O PRÉMIO DO DIA Sobremesa Flan de Ovo 4x100 g,PR MIO DO DIA,,"1,75 €","4,38 €/Kg",,,
MAGGI Puré de Batata 250 g,MAGGI,,"2,49 €","9,96 €/Kg",,,
DIA Iogurte Magro Com Pedaços Multifruta 8x125 g,DIA,,"2,65 €","2,65 €/Kg",,,
DIA MARI MARINHEIRA Petinga Em Tomate 90 g,DIA MARI MARINHEIRA,,"1,00 €","16,13 €/Kg",,,
NESCAFÉ Café Solúvel Clássico 100 g,NESCAF,,"2,99 €","29,90 €/Kg",,,
DIA Maionese Up Down 300 ml,DIA,,"1,43 €","4,77 €/l",,,
DIA TEMPTATION Gelados Multipack Big de Chocolate de Leite 4X120 ml,DIA TEMPTATION,,"1,85 €","3,85 €/l",,,
DIA HORA + DOCE Leite Creme 92 g,DIA HORA DOCE,,"0,50 €","5,43 €/Kg",,,
DIA LÁCTEA Leite Com Chocolate 3x200 ml,DIA CTEA,,"0,99 €","1,65 €/l",,,
NOBRE Frankfurt Salsichas Lata 6 Un,NOBRE,,"1,19 €","4,76 €/Kg",,,
DIA Amendoins Com Sal 250 g,DIA,,"1,05 €","4,20 €/Kg",,,
NESCAFÉ Café Solúvel Clássico 10x2 g,NESCAF,,"1,59 €","79,50 €/Kg",,,
DIA Salsichas Baviera 300 g,DIA,,"2,19 €","7,30 €/Kg",,,
DIA TÔFRITA! Batata Frita Caseira 180 g,DIA FRITA,,"1,05 €","5,83 €/Kg",,,
DIA TÔFRITA! Batata Frita Palha 200 g,DIA FRITA,,"1,12 €","5,60 €/Kg",,,
DIA MARI MARINHEIRA Sardinhas Em Tomate Picante 120 g,DIA MARI MARINHEIRA,,"1,02 €","8,50 €/Kg",,,
DIA SABOR CHARCUTEIRO Fiambre da Pá 2x125 g,DIA SABOR CHARCUTEIRO,,"1,99 €","7,96 €/Kg",,,
O PRÉMIO DO DIA Mousse de Chocolate 4x60 g,PR MIO DO DIA,,"1,05 €","4,38 €/Kg",,,
DIA VEGECAMPO Polpa de Tomate 500 g,DIA VEGECAMPO,,"1,02 €","2,04 €/Kg",,,
DIA SABOR CHARCUTEIRO Tiras de Bacon 2x100 g,DIA SABOR CHARCUTEIRO,,"2,79 €","13,95 €/Kg",,,
DIA HORA + DOCE Mousse de Chocolate 150 g,DIA HORA DOCE,,"1,02 €","6,80 €/Kg",,,
DIA Maionese Frasco 450 ml,DIA,,"1,95 €","4,33 €/l",,,
