NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
CORPOS DANONE Iogurte Líquido Magro de Morango 4x155 g,CORPOS DANONE,,"1,69 €","2,73 €/Kg",,,
NOVA AÇORES Manteiga dos Açores 250 g,NOVA ORES,,"2,59 €","10,36 €/Kg",,,
OIKOS Iogurte Grego Maracujá 4x110 g,OIKOS,,"2,99 €","6,80 €/Kg",,,
NOVA AÇORES Queijo da Ilha Fatiado 150 g,NOVA ORES,,"2,25 €","15,00 €/Kg",,,
DAN'UP Iogurte Líquido de Stracciatella 4x155 g,DAN UP,,"2,99 €","4,82 €/Kg",,,
DIA Queijo Da Ilha 400 g,DIA,,"3,79 €","9,48 €/Kg",,,
SANTIAGO Queijo Fresco Meio Gordo 80 g,SANTIAGO,,"0,79 €","9,88 €/Kg",,,
SANTIAGO Queijo Fresco Magro 80 g,SANTIAGO,,"0,79 €","9,88 €/Kg",,,
DIA DONA MARGARIDA Margarina Culinária 250 g,DIA DONA MARGARIDA,,"0,95 €","3,80 €/Kg",,,
ACTIVIA Iogurte Bifidus Líquido Kiwi 4x155 g,ACTIVIA,,"3,39 €","5,47 €/Kg",,,
DIA FIDIAS Iogurte Grego Stracciatella 4x125 g,DIA FIDIAS,,"1,49 €","2,98 €/Kg",,,
DIA FIDIAS Iogurte Grego Maracujá 4x125 g,DIA FIDIAS,,"1,49 €","2,98 €/Kg",,,
DANONE Iogurte Líquido de Tutti-Frutti 4x155 g,DANONE,,"1,29 €","2,08 €/Kg",,,
ROYAL Gelatina de Ananás Light 10 Kcal 4x100 g,ROYAL,,"2,19 €","5,48 €/Kg",,,
AYAM Leite de Coco 200 ml,AYAM,,"1,69 €","8,45 €/l",,,
DIA SONHOS Gelatina de Morango Light 8Kcal 6x100 g,DIA SONHOS,,"1,49 €","2,48 €/Kg",,,
ACTIVIA Iogurte Cremoso Frutos Silvestres 4x120 g,ACTIVIA,,"1,89 €","3,94 €/Kg",,,
ACTIVIA Iogurte Sólido Cereais 4x115 g,ACTIVIA,,"2,09 €","4,54 €/Kg",,,
UCAL Leite C/Chocolate Light 6x250 ml,UCAL,,"5,76 €","3,84 €/l",,,
ACTIVIA Iogurte Sólido Cremoso 0% Cocktail de Frutas 4x120 g,ACTIVIA,,"2,49 €","5,19 €/Kg",,,
PRÉSIDENT Natas Frescas com 30% de Matéria Gorda 200 ml,PR SIDENT,,"1,79 €","8,95 €/l",,,
MIMOSA Iogurte Líquido Magro Morango Super Poupança 6x156 ml,MIMOSA,,"2,69 €","2,97 €/l",,,
MIMOSA Iogurte Líquido Magro Frutos Tropicais Super Poupança 6x156 ml,MIMOSA,,"2,69 €","2,97 €/l",,,
SHOYCE Bebida de Arroz 0% 1 L,SHOYCE,,"1,43 €","1,43 €/l","1,79 €","1,79 €/l",
YOGGI Iogurte Sem Lactose Morango 4x160 g,YOGGI,,"3,22 €","5,03 €/Kg",,,
YOGGI Iogurte Sem Lactose Morango & Banana 4x160 g,YOGGI,,"3,22 €","5,03 €/Kg",,,
VIGOR Leite Pasteurizado Meio Gordo 0% de Lactose 1 L,VIGOR,,"1,18 €","1,18 €/l",,,
BECEL Margarina Sabor A Manteiga 400 g,BECEL,,"5,29 €","13,23 €/Kg",,,
YOGGI Iogurte Líquido de Morango 8x160 g,YOGGI,,"3,94 €","3,08 €/Kg",,,
BECEL Pro Active Sabor Manteiga 225 g,BECEL,,"2,39 €","10,62 €/Kg","3,99 €","17,73 €/Kg",
YOGGI Iogurte Líquido Aroma Frutos Silvestres 4x160 g,YOGGI,,"3,19 €","4,98 €/Kg",,,
YOGGI Iogurte Líquido Aroma Frutos Tropicais 4x160 g,YOGGI,,"3,19 €","4,98 €/Kg",,,
SANTIAGO Queijo Quinta do Olival Barrado 450 g,SANTIAGO,,"8,49 €","8,49 €/ud",,,
SERRAS DE PENELA Queijo de Vaca E Ovelha Pequeno 1 Un,SERRAS DE PENELA,,"2,99 €","2,99 €/ud",,,
SERRAS DE PENELA Queijo de Vaca E Ovelha Grande 1 Un,SERRAS DE PENELA,,"4,49 €","4,49 €/ud",,,
FLORA Margarina 400 g,FLORA,,"3,49 €","8,73 €/Kg",,,
ACTIVIA Iogurte Líquido Frutos Silvestres 4x155 g,ACTIVIA,,"3,39 €","5,47 €/Kg",,,
A VACA QUE RI Queijo Fundido Palitos Light 4x35 g,VACA QUE RI,,"2,39 €","17,07 €/Kg",,,
CASTELÕES Queijo Prato Light 1 Un,CASTEL ES,,"7,24 €","7,24 €/ud",,,
DANET Sobremesa Baunilha 4x125 g,DANET,,"2,99 €","5,98 €/Kg",,,
PAIVA Queijo Curado Meio Gordo 1 Un,PAIVA,,"7,55 €","7,55 €/ud",,,
LACTAÇORES Queijo DOP S. Jorge 12 Meses 300 g,LACTA ORES DOP,,"7,39 €","24,63 €/Kg",,,
DANET Sobremesa Caramelo 4x125 g,DANET,,"2,99 €","5,98 €/Kg",,,
NOVA AÇORES Leite UHT Meio Gordo 1 L,NOVA ORES UHT,,"1,14 €","1,14 €/l",,,
CASTELÕES Queijo Prato 1 Un,CASTEL ES,,"7,24 €","7,24 €/ud",,,
SHOYCE Bebida de Arroz 0% 200 ml,SHOYCE,,"0,48 €","2,40 €/l","0,60 €","3,00 €/l",
DIA VITAL Bebida de Arroz 1 L,DIA VITAL,,"1,53 €","1,53 €/l",,,
KOLIÓS Queijo Feta DOP 200 g,KOLI DOP,,"2,59 €","12,95 €/Kg",,,
CAMPAINHA Queijo Ralado Flamengo 150 g,CAMPAINHA,,"1,69 €","11,27 €/Kg",,,
ACTIMEL Morango 6x100 g,ACTIMEL,,"3,29 €","5,48 €/Kg",,,
FALLINI Queijo Ralado em Pó com Doseador 80 g,FALLINI,,"1,95 €","24,38 €/Kg",,,
PAIVA Queijo Prato Apimentado 1 Un,PAIVA,,"7,55 €","7,55 €/ud",,,
A VACA QUE RI Queijo Fundido Porções (16 unidades) 280 g,VACA QUE RI,,"3,29 €","0,21 €/ud",,,
