NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
DIA VITAL Bebida de Soja Natural 1 L,,,"1,02 €","1,02 €/l",,,
DIA VITAL Bolachas de Arroz Integral 130 g,,,"0,81 €","6,23 €/Kg",,,
DIA AL PUNTO Salteado de Cogumelos 450 g,,,"2,19 €","4,87 €/Kg",,,
DIA Tortitas de Arroz Com Iogurte 130 g,,,"1,64 €","12,62 €/Kg",,,
DIA VITAL Sementes de Girassol 200 g,,,"1,43 €","7,15 €/Kg",,,
DIA NATULEV Bagas de Goji 150 g,,,"3,08 €","20,53 €/Kg",,,
DIA VITAL Sementes de Linhaça Amarela 250 g,,,"1,43 €","5,72 €/Kg",,,
DIA Tortitas de Milho 130 g,,,"0,81 €","6,23 €/Kg",,,
CEM PORCENTO Bolacha Marinheiras Chia 200 g,,,"2,89 €","14,45 €/Kg",,,
MIMOSA Leite Meio Gordo Sem Lactose 1 L,,,"1,09 €","1,09 €/l",,,
CEM PORCENTO Tofu Suave 350 g,,,"2,99 €","8,54 €/Kg",,,
NESTLÉ GO FREE Corn Flakes Cereais de Milho sem Glúten 375 g,,,"2,99 €","7,97 €/Kg",,,
MIMOSA Leite Magro Sem Lactose 1 L,,,"1,09 €","1,09 €/l",,,
CEM PORCENTO Mix Sementes Tradicional 250 g,,,"1,99 €","7,96 €/Kg",,,
BICENTURY Tortitas de Milho Sem Glúten 130 g,,,"1,79 €","13,77 €/Kg",,,
DIA VITAL Bebida de Soja Natural 3x200 ml,,,"1,02 €","1,70 €/l",,,
DIA VITAL Bebida de Soja Light 1 L,,,"1,12 €","1,12 €/l",,,
DIA LÁCTEA Leite Meio Gordo Sem Lactose 1 L,,,"1,07 €","1,07 €/l",,,
DIA VITAL Bebida de Soja de Chocolate 3x200 ml,,,"1,33 €","2,22 €/l",,,
SHOYCE Creme Culinário 200 ml,,,"1,39 €","6,95 €/l",,,
SHOYCE Bebida de Aveia 200 ml,,,"0,58 €","2,90 €/l","0,73 €","3,65 €/l",
