NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
Bacalhau Graúdo Inteiro Salgado Seco (Entre 2 a 3 kg e enviado com Corte para Lombos),,,"41,97 €","13,99 €/Kg",,,
Bacalhau Crescido Inteiro Salgado Seco (Entre 1 a 2 kg e enviado com Corte para Lombos),,,"25,98 €","12,99 €/Kg",,,
SANTIAGO Queijo Três Igrejas 450 g,SANTIAGO,,"7,99 €","17,76 €/Kg",,,
SIDUL Açúcar Branco 1 kg,SIDUL,,"1,69 €","1,69 €/Kg",,,
SIDUL Açúcar Amarelo 1 kg,SIDUL,,"1,89 €","1,89 €/Kg",,,
DIA SONHOS Polpa de Manga 850 g,DIA SONHOS,,"3,35 €","3,94 €/Kg",,,
PALHAIS Queijo de Cabra Original 2x100 g,PALHAIS,,"4,39 €","21,95 €/Kg",,,
DIA DELIMAGIC Caramelo Líquido 400 g,DIA DELIMAGIC,,"1,49 €","3,73 €/Kg",,,
DIA HORA + DOCE Leite Creme 92 g,DIA HORA DOCE,,"0,50 €","5,43 €/Kg",,,
LAGOS Queijo de Ovelha Amanteigado de Seia 1 Un,LAGOS,,"8,99 €","8,99 €/ud",,,
DIA NATURMUNDO Coco Ralado 200 g,DIA NATURMUNDO,,"1,15 €","5,75 €/Kg",,,
HORTA DO DIA Batata Para Cozer Embalada 3 kg,HORTA DO DIA,,"2,69 €","0,90 €/Kg",,,
DIA (A) MAR À VISTA Posta Média Bacalhau Demolhado Ultracongelado 800 g,DIA MAR VISTA,,"6,59 €","8,24 €/Kg",,,
Abacaxi (1 un = 2120 g aprox),,,"2,95 €","1,39 €/Kg",,,
PALHAIS Queijo de Cabra Chèvre 180 g,PALHAIS,,"3,99 €","22,17 €/Kg",,,
DIA HORA + DOCE Mousse de Chocolate 150 g,DIA HORA DOCE,,"1,02 €","6,80 €/Kg",,,
DIA Leite Condensado 397 g,DIA,,"1,33 €","3,35 €/Kg",,,
DIA LÁCTEA Leite Condensado Magro 397 g,DIA CTEA,,"1,33 €","3,35 €/Kg",,,
PRÉSIDENT Queijo Roquefort 100 g,PR SIDENT,,"3,35 €","33,50 €/Kg",,,
LIMIANO Queijo Amanteigado Vaca E Ovelha 450 g,LIMIANO,,"6,19 €","13,76 €/Kg",,,
DIA (A) MAR À VISTA Posta Tradicional Bacalhau Demolhado Ultracongelado 800 g,DIA MAR VISTA,,"10,29 €","12,86 €/Kg",,,
DIA Leite Condensado Cozido 397 g,DIA,,"1,43 €","3,60 €/Kg",,,
DIA (A) MAR À VISTA Lombos de Bacalhau Demolhado Ultracongelado 800 g,DIA MAR VISTA,,"13,09 €","16,36 €/Kg",,,
LAGOS Requeijão de Ovelha 150 g,LAGOS,,"1,49 €","9,93 €/Kg",,,
PRÉSIDENT Queijo Brie 200 g,PR SIDENT,,"3,79 €","18,95 €/Kg",,,
PRISCA Alheira de Caça 180 g,PRISCA,,"2,25 €","12,50 €/Kg",,,
DIA SABOR CHARCUTEIRO Alheira Trasmontana 200 g,DIA SABOR CHARCUTEIRO,,"1,49 €","7,45 €/Kg",,,
DIA SELEÇÃO MUNDIAL Queijo Brie 200 g,DIA SELE MUNDIAL,,"1,59 €","7,95 €/Kg",,,
DIA TEMPTATION Chocolate Em Pó 125 g,DIA TEMPTATION,,"0,88 €","7,04 €/Kg",,,
DIA O CHOCALHO Queijo Mistura Amanteigado 1 Un,DIA CHOCALHO,,"5,29 €","5,29 €/ud",,,
DIA MARI MARINHEIRA Camarão Selvagem Madagáscar 800 g,DIA MARI MARINHEIRA,,"20,75 €","25,94 €/Kg",,,
DIA SABOR CHARCUTEIRO Farinheira de Seia 200 g,DIA SABOR CHARCUTEIRO,,"1,65 €","8,25 €/Kg",,,
DIA Massa Quebrada 230 g,DIA,,"1,15 €","5,00 €/Kg",,,
FRUTOS SECOS DO DIA Miolo de Noz Metades 200 g,FRUTOS SECOS DO DIA,,"2,79 €","13,95 €/Kg",,,
FRUTOS SECOS DO DIA Passas Sultanas 200 g,FRUTOS SECOS DO DIA,,"0,89 €","4,45 €/Kg",,,
SANTIAGO Requeijão de Cabra 170 g,SANTIAGO,,"2,39 €","14,06 €/Kg",,,
DIA SABOR CHARCUTEIRO Alheira de Mirandela IGP 200 g,DIA SABOR CHARCUTEIRO IGP,,"1,55 €","7,75 €/Kg",,,
BEIRANOVA Polvo Limpo 2-3Kg (1 un = 2240 g aprox),BEIRANOVA,,"35,82 €","15,99 €/Kg",,,
MARFRESCO Sapateira Cozida Congelada 600/800 1 Un,MARFRESCO,,"12,99 €","12,99 €/ud",,,
