NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
DAMATTA Nacos de Toucinho 200 g,,,"4,15 €","20,75 €/Kg",,,
DIA SABOR CHARCUTEIRO Salame 120 g,,,"1,25 €","10,42 €/Kg",,,
DIA SABOR CHARCUTEIRO Presunto Fatiado 150 g,,,"2,99 €","19,93 €/Kg",,,
FRUTORRA Amendoins com Casca 1 kg,,,"4,99 €","4,99 €/Kg",,,
IZIDORO Bifinhos do Lombo de Porco Finíssimos 200 g,,,"2,50 €","12,50 €/Kg",,,
SNOCK Cenouras Baby 125 g,,,"1,09 €","8,72 €/Kg",,,
FRUTORRA Cocktail de Frutos Secos 250 g,,,"2,19 €","8,76 €/Kg",,,
CAMPOFRIO Salsichas Frankfurt Original Vácuo 140 g,,,"0,99 €","7,07 €/Kg",,,
DAMATTA Morcela 200 g,,,"3,89 €","19,45 €/Kg",,,
CAMPOFRIO Tapas Salsichão Fatias 80 g,,,"1,51 €","18,88 €/Kg","1,89 €","23,63 €/Kg",
CAMPOFRIO Tapas Chouriço Gran Doblón Fatias 80 g,,,"1,51 €","18,88 €/Kg","1,89 €","23,63 €/Kg",
CAMPOFRIO Tapas Salame Palaciego Fatias 80 g,,,"1,51 €","18,88 €/Kg","1,89 €","23,63 €/Kg",
AVIBOM Strogonoff de Frango 400 g,,,"3,69 €","9,23 €/Kg",,,
FRUUT Maçã com Canela 20 g,,,"0,99 €","49,50 €/Kg",,,
FRUUT Pêra Rocha 20 g,,,"0,85 €","42,50 €/Kg",,,
RIBERALVES Filete do Paloco do Pacífico 400 g,,,"4,19 €","10,48 €/Kg",,,
Kiwi Amarelo Embalado 400 g,,,"2,99 €","7,48 €/Kg",,,
Maracujá (1 un = 30 g aprox),,,"0,24 €","7,99 €/Kg",,,
CAMPOFRIO Fiambre de Frango Fatias Clássicas 90 g,,,"1,30 €","14,44 €/Kg",,,
CORTE DO DIA Bifinhos Do Cachaço de Porco Embalados 400 g,,,"3,45 €","8,63 €/Kg",,,
FRUUT Chipz Maçã 20 g,,,"0,85 €","42,50 €/Kg",,,
PRISCA Barriga Fumada 150 g,,,"2,59 €","17,27 €/Kg",,,
Dióspiro (1 un = 255 g aprox),,,"0,61 €","2,39 €/Kg",,,
Anona (1 un = 225 g aprox),,,"0,67 €","2,99 €/Kg",,,
Marmelo (1 un = 245 g aprox),,,"0,73 €","2,99 €/Kg",,,
RANA Folhas Para Lasanha 250 g,,,"2,69 €","10,76 €/Kg",,,
RANA Tortellini Fiambre e Queijo 250 g,,,"2,47 €","9,88 €/Kg","3,29 €","13,16 €/Kg",
DAMATTA Chourição Castelhano Fatias Finas 120 g,,,"2,35 €","19,58 €/Kg",,,
Castanha,,,"4,99 €","4,99 €/Kg",,,
DOROTEA Tremoço Embalado 300 g,,,"1,20 €","4,00 €/Kg",,,
DOROTEA Azeitona Do Alentejo Moura 300 g,,,"1,69 €","5,63 €/Kg",,,
NOBRE Cuita-t+ Fiambre da Perna Extra Fatias Finas 110 g,,,"2,69 €","24,45 €/Kg",,,
NOBRE Paio Lombo Fatias 100 g,,,"2,69 €","26,90 €/Kg",,,
Noz do Alentejo Com Casca Embalada 500 g,,,"4,49 €","8,98 €/Kg",,,
Espargo Verde Embalado 250 g,,,"2,99 €","11,96 €/Kg",,,
Frango Para Churrasco Embalado (1 un = 1215 g aprox),,,"4,36 €","3,59 €/Kg",,,
VITACRESS Espinafre Biológico Embalado 150 g,,,"2,29 €","15,27 €/Kg",,,
Beterraba (1 un = 215 g aprox),,,"0,38 €","1,79 €/Kg",,,
FRUTOS SECOS DO DIA Sultana Dourada 200 g,,,"0,99 €","4,95 €/Kg",,,
FRUTOS SECOS DO DIA Tâmaras 200 g,,,"1,39 €","6,95 €/Kg",,,
FRUTOS SECOS DO DIA Miolo de Amêndoa Sem Pele 200 g,,,"2,99 €","14,95 €/Kg",,,
Alface Iceberg Embalada (1 un = 435 g aprox),,,"1,30 €","2,98 €/Kg",,,
Bimi Embalado 200 g,,,"1,99 €","9,95 €/Kg",,,
Malagueta Embalada 100 g,,,"1,39 €","13,90 €/Kg",,,
AVIBOM Pato Desfiado Cozido com Caldo Embalado 600 g,,,"9,99 €","16,65 €/Kg",,,
FRUTOS SECOS DO DIA Caju Cru Natural 150 g,,,"3,35 €","22,33 €/Kg",,,
DAMATTA Chouriço Beirão 225 g,,,"5,39 €","23,96 €/Kg",,,
DAMATTA Chouriço Transmontano 225 g,,,"5,39 €","23,96 €/Kg",,,
IZIDORO Fatias Finas Peito de Frango Forno de Lenha 110 g,,,"2,20 €","20,00 €/Kg",,,
IZIDORO Fatias Finas Peito de Peru Forno de Lenha 110 g,,,"2,20 €","20,00 €/Kg",,,
Rabos de Bacalhau 700 g,,,"6,59 €","9,41 €/Kg",,,
FRUTOS SECOS DO DIA Cocktail Frutos Secos 150 g,,,"2,99 €","19,93 €/Kg",,,
"FRUUT Mix Maçã Desidratada, Amêndoa e Coco 30 g",,,"1,15 €","38,33 €/Kg",,,
FRUUT Mix Maçã Desidratada e Amendoim 40 g,,,"1,15 €","28,75 €/Kg",,,
EVARISTO Azeitona Retalhada Natural Embalada 300 g,,,"2,29 €","7,63 €/Kg",,,
AVIBOM Frango Cozido Desfiado 350 g,,,"4,19 €","11,97 €/Kg",,,
DIA SABOR CHARCUTEIRO Chouriço Corrente 400 g,,,"2,39 €","5,98 €/Kg",,,
NOEL Presunto Serrano All Natural 100 g,,,"2,47 €","24,70 €/Kg",,,
NOEL Salsichão 100 g,,,"1,75 €","17,50 €/Kg",,,
NOEL Lombo 120 g,,,"2,55 €","21,25 €/Kg",,,
NOEL Presunto Serrano 120 g,,,"2,49 €","20,75 €/Kg","3,09 €","25,75 €/Kg",
DIA SABOR CHARCUTEIRO Naco de Presunto 9M Cura 250 g,,,"3,34 €","13,36 €/Kg",,,
NOEL Fuet 170 g,,,"1,89 €","11,12 €/Kg",,,
NOEL Chouriço Delizias  100 g,,,"1,75 €","17,50 €/Kg",,,
Bacalhau Graúdo Inteiro Salgado Seco (Entre 2 a 3 kg e enviado com Corte para Lombos),,,"41,97 €","13,99 €/Kg",,,
Bacalhau Crescido Inteiro Salgado Seco (Entre 1 a 2 kg e enviado com Corte para Lombos),,,"25,98 €","12,99 €/Kg",,,
DIA (A) MAR À VISTA Migas de Bacalhau do Pacífico 400 g,,,"5,25 €","13,13 €/Kg",,,
DIA SABOR CHARCUTEIRO Paio York 200 g,,,"1,89 €","9,45 €/Kg",,,
DIA SABOR CHARCUTEIRO Fiambre Da Perna Extra 200 g,,,"1,85 €","9,25 €/Kg",,,
PRISCA Linguiça Extra Escolha Económica 150 g,,,"1,69 €","11,27 €/Kg",,,
PRISCA Paio Do Lombo Em Fatias Escolha Económica 90 g,,,"1,65 €","18,33 €/Kg",,,
PRISCA Farinheira Extra Escolha Económica 150 g,,,"1,69 €","11,27 €/Kg",,,
PRISCA Chouriça Extra Escolha Económica 150 g,,,"1,99 €","13,27 €/Kg",,,
PRISCA Chouriço Mouro Extra Escolha Económica 150 g,,,"1,69 €","11,27 €/Kg",,,
PRISCA Barriga Fumada Em Fatias Escolha Económica 90 g,,,"1,65 €","18,33 €/Kg",,,
IZIDORO Salsicha Brasileira Embalado 600 g,,,"3,34 €","5,57 €/Kg",,,
Limão (1 un = 220 g aprox),,,"0,50 €","2,29 €/Kg",,,
Kiwi (1 un = 120 g aprox),,,"0,48 €","3,99 €/Kg",,,
Maçã Gala (1 un = 180 g aprox),,,"0,41 €","2,29 €/Kg",,,
Mandarina (1 un = 140 g aprox),,,"0,35 €","2,49 €/Kg","0,42 €","2,99 €/Kg",
Laranja (1 un = 275 g aprox),,,"0,49 €","1,79 €/Kg",,,
Maçã Golden (1 un = 185 g aprox),,,"0,33 €","1,79 €/Kg",,,
Banana Importada (1 un = 185 g aprox),,,"0,20 €","1,09 €/Kg",,,
DIA SABOR CHARCUTEIRO Bacon Fatias 200 g,,,"2,09 €","10,45 €/Kg",,,
CORTE DO DIA Frango Partido Embalado (1 un = 635 g aprox),,,"2,13 €","3,35 €/Kg",,,
DIA AL PUNTO Lasanha À Bolonhesa 1 kg,,,"4,95 €","4,95 €/Kg",,,
DIA SABOR CHARCUTEIRO Chouriço de Carne do Fundão 250 g,,,"2,99 €","11,96 €/Kg",,,
CORTE DO DIA Bifanas de Porco Embaladas (1 un = 495 g aprox),,,"3,61 €","7,29 €/Kg",,,
CORTE DO DIA Bifes Peru Embalado (1 un = 520 g aprox),,,"4,44 €","8,54 €/Kg",,,
DIA Amendoins Com Sal 250 g,,,"1,05 €","4,20 €/Kg",,,
DIA Salsichas Baviera 300 g,,,"2,19 €","7,30 €/Kg",,,
Pepino (1 un = 365 g aprox),,,"0,69 €","1,89 €/Kg",,,
Alface Frisada (1 un = 335 g aprox),,,"0,90 €","2,69 €/Kg",,,
Uva Branca Sem Grainha Embalada 500 g,,,"4,39 €","8,78 €/Kg",,,
Uva Preta Sem Grainha Embalada 500 g,,,"4,39 €","8,78 €/Kg",,,
DIA AL PUNTO Pizza Fresca Queijo E Fiambre 400 g,,,"2,69 €","2,69 €/ud",,,
DIA AL PUNTO Pizza Fresca Atum E Bacon 400 g,,,"2,75 €","2,75 €/ud",,,
Pimento Verde (1 un = 255 g aprox),,,"0,69 €","2,69 €/Kg",,,
Uva Preta (1 un = 825 g aprox),,,"3,29 €","3,99 €/Kg",,,
Feijão Verde,,,"3,99 €","3,99 €/Kg",,,
Pêra Rocha (1 un = 160 g aprox),,,"0,30 €","1,89 €/Kg",,,
HORTA DO DIA Melão Verde (1 un = 2795 g aprox),,,"6,40 €","2,29 €/Kg",,,
HORTA DO DIA Batata Para Cozer Embalada 3 kg,,,"2,69 €","0,90 €/Kg",,,
HORTA DO DIA Cenouras Embaladas 1 kg,,,"0,99 €","0,99 €/Kg",,,
