NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
"FRISKIES Alimento Húmido para Cão Adulto Vaca, Frango e Borrego 4x100 g",FRISKIES,,"2,59 €","6,48 €/Kg",,,
PURINA Alimento Húmido Salmão para Gato Esterilizado 4x85 g,PURINA,,"2,61 €","7,68 €/Kg",,,
PURINA ONE Alimento Húmido Cão Mini Activo Sabor Vaca 4x100 g,PURINA ONE,,"3,19 €","7,98 €/Kg",,,
GOURMET Alimento Húmido Gold Frango e Cenoura para Gato 85 g,GOURMET,,"0,75 €","8,82 €/Kg",,,
PEDIGREE Snack Markies 500 g,PEDIGREE,,"3,75 €","7,50 €/Kg",,,
DIA AS Menu Mix Cão 4 kg,DIA AS,,"5,99 €","1,50 €/Kg",,,
"FRISKIES Ração para Gato Júnior com Frango Purina 1,5 kg",FRISKIES,,"6,99 €","4,66 €/Kg",,,
FRISKIES Ração para Cão Adulto com Frango Purina 4 kg,FRISKIES,,"12,79 €","3,20 €/Kg",,,
PEDIGREE Terrina Com Alimentação Húmida Para Cão 300 g,PEDIGREE,,"2,49 €","8,30 €/Kg",,,
WHISKAS Alimentação Húmida Gato + de 1 Ano Peixe 4x100 g,WHISKAS,,"2,75 €","6,88 €/Kg",,,
PEDIGREE Snack Para Cão Dentastix 180 g,PEDIGREE,,"3,29 €","18,28 €/Kg",,,
"FRISKIES Ração para Gato Adulto de Interior Purina 1,5 kg",FRISKIES,,"6,99 €","4,66 €/Kg",,,
DIA AS Paté Gato Vaca 100 g,DIA AS,,"0,59 €","5,90 €/Kg",,,
DIA AS Paté Para Gato de Frango E Perú 100 g,DIA AS,,"0,59 €","5,90 €/Kg",,,
DIA AS Paté Gato Salmão E Truta 100 g,DIA AS,,"0,59 €","5,90 €/Kg",,,
DIA AS Paté de Aves E Vitela Para Cão 300 g,DIA AS,,"0,85 €","2,83 €/Kg",,,
DIA AS Paté de Vaca E Fígado Para Cão 300 g,DIA AS,,"0,85 €","2,83 €/Kg",,,
"FRISKIES Ração para Gato Adulto com Legumes, Coelho, Frango Purina 2 kg",FRISKIES,,"7,99 €","4,00 €/Kg",,,
PEDIGREE Snack de Galinha Para Cão Rodeo 70 g,PEDIGREE,,"1,69 €","24,14 €/Kg",,,
PURINA GOURMET DIAMANT Comida Húmida para Gato Atum com Camarões 85 g,PURINA GOURMET DIAMANT,,"1,49 €","17,53 €/Kg",,,
CATISFACTIONS Snack de Salmão Para Gato 60 g,CATISFACTIONS,,"1,41 €","23,50 €/Kg",,,
CATISFACTIONS Snack de Galinha Para Gato 60 g,CATISFACTIONS,,"1,41 €","23,50 €/Kg",,,
DIA AS Paté Para Cão Júnior Raças Pequenas 150 g,DIA AS,,"0,65 €","4,33 €/Kg",,,
"PURINA ONE MINI Ração para Cão Adulto Pequeno Rica em Vaca 1,5 kg",PURINA ONE MINI,,"8,65 €","5,77 €/Kg",,,
"PEDIGREE Alimentação Seca Galinha Para Cão Raças Pequenas 1,4 kg",PEDIGREE,,"8,39 €","5,99 €/Kg",,,
DIA AS Snack Big Bones Para Cão 2x100 g,DIA AS,,"1,79 €","8,95 €/Kg",,,
"ULTIMA Alimentação Seca Gato Esteriliz. E Bolas de Pêlo 1,5 kg",ULTIMA,,"13,29 €","8,86 €/Kg",,,
FRISKIES Ração para Cão Adulto VitaFit Active com Carne de Vaca Purina 4 kg,FRISKIES,,"12,79 €","3,20 €/Kg",,,
DIA AS Paté de Borrego Para Cão 300 g,DIA AS,,"0,85 €","2,83 €/Kg",,,
DIA AS Snack de Frango Para Cão 200 g,DIA AS,,"1,55 €","7,75 €/Kg",,,
PURINA ONE Ração para Gato Esterilizado Vaca  800 g,PURINA ONE,,"5,24 €","6,55 €/Kg",,,
DIA AS Snack Dental Para Cão 170 g,DIA AS,,"1,05 €","6,18 €/Kg",,,
PEDIGREE Snack Para Cão Raças Pequenas Dentastix 110 g,PEDIGREE,,"2,49 €","22,64 €/Kg",,,
DIA AS Alimento Roedores Mistura Sementes 1 kg,DIA AS,,"2,29 €","2,29 €/Kg",,,
"DIA Paté de Carne E Cenoura Para Cão 1,25 kg",DIA,,"2,19 €","1,75 €/Kg",,,
PEDIGREE Snack Para Cão Biscrok 500 g,PEDIGREE,,"3,75 €","7,50 €/Kg",,,
PURINA ONE Ração para Gato Especial Pele e Bolas de Pelo 800 g,PURINA ONE,,"5,24 €","6,55 €/Kg",,,
"PEPETED Silica Gel Absorvente 3,8 L",PEPETED,,"7,49 €","1,97 €/l",,,
PEDIGREE Alimento de Cão Húmido Junior 4x100 g,PEDIGREE,,"2,69 €","6,73 €/Kg",,,
"PERFECT FIT Alimentação Seca Para Gato Esterelizado Galinha 1,4 kg",PERFECT FIT,,"13,19 €","9,42 €/Kg",,,
PET WASH Champô Para Animais Sport 500 ml,PET WASH,,"2,99 €","5,98 €/l",,,
PEPETED Sacos Higiénicos 60 un,PEPETED,,"1,29 €","1,29 €/ud",,,
PURINA GOURMET Alimento Húmido Para Gato Nature's Creations Rico em Frango e Rico em Peru 4x85 g,PURINA GOURMET,,"2,89 €","8,50 €/Kg","3,89 €","11,44 €/Kg",
PURINA GOURMET Alimento Húmido Para Gato Nature's Creations Rico em Peixe do Oceano e Rico em Atum 4x85 g,PURINA GOURMET,,"2,89 €","8,50 €/Kg","3,89 €","11,44 €/Kg",
PEDIGREE Snack Para Cão Dentastix 180 g,PEDIGREE,,"3,29 €","18,28 €/Kg",,,
PERFECT FIT Alimento Seco Para Gato Adulto Galinha 750 g,PERFECT FIT,,"7,19 €","9,59 €/Kg",,,
PERFECT FIT Alimento Húmido Para Gato Salmão 4x85 g,PERFECT FIT,,"2,39 €","7,03 €/Kg",,,
PURINA Tira Dentalife Gato Sabor Frango 40 g,PURINA,,"1,49 €","37,25 €/Kg",,,
FRISKIES Alimento Húmido Para Cão Saquetas 12x100 g,FRISKIES,,"6,99 €","5,83 €/Kg",,,
DIA DELIGATO Areia Perfumada Para Gatos 5 kg,DIA DELIGATO,,"2,29 €","0,46 €/Kg",,,
DIA DELIGATO Areia Para Gatos 5 kg,DIA DELIGATO,,"1,39 €","0,28 €/Kg",,,
DIA DELIGATO Areia Aglomerante Para Gatos 4 kg,DIA DELIGATO,,"3,69 €","0,92 €/Kg",,,
PURINA ONE Alimento Seco Vaca para Gato Esterilizado 3 kg,PURINA ONE,,"22,99 €","7,66 €/Kg",,,
ULTIMA Alimento Seco Salmão para Gato Adulto 750 g,ULTIMA,,"7,19 €","9,59 €/Kg",,,
"ULTIMA Alimento Seco Gato Esterilizado Salmão 1,5 kg",ULTIMA,,"13,29 €","8,86 €/Kg",,,
GOURMET Alimento Húmido Mousse Atum para Gato Revelations 4x57 g,GOURMET,,"3,49 €","0,87 €/ud",,,
GOURMET Alimento Húmido Peixe do Oceano para Gato Nature Creations 85 g,GOURMET,,"0,74 €","8,71 €/Kg","0,99 €","11,65 €/Kg",
GOURMET REVELATIONS Alimento Húmido para Gato Mousse Salmão 4x57 g,GOURMET REVELATIONS,,"3,49 €","15,31 €/Kg",,,
FELIX Alimento Húmido Para Gato com Pedaços de Frango e Vaca em Gelatina 4x85 g,FELIX,,"2,59 €","7,62 €/Kg",,,
FELIX Alimento Húmido Para Gato com Pedaços de Atum e Salmão em Gelatina 4x85 g,FELIX,,"2,59 €","7,62 €/Kg",,,
FELIX Alimento Húmido Para Gato Fantastic 12x85 g,FELIX,,"6,99 €","6,85 €/Kg",,,
FELIX Alimento Húmido Para Gato Sensations Gelatinas Seleção do Campo 12x85 g,FELIX,,"6,99 €","6,85 €/Kg",,,
FRISKIES Alimento Húmido para Cão Júnior Frango e Cenoura 4x100 g,FRISKIES,,"2,59 €","6,48 €/Kg",,,
FRISKIES Alimento Seco para Cão Active 9 kg,FRISKIES,,"26,69 €","2,97 €/Kg",,,
