Nome,Marca,Unidade,Preço Primário,Preço Secundário
"Vinho bairrada, reserva, tinto",Selecção de Enófilos,Garrafa de 0.75 l,"3,39 €","4,52 €/L"
Mistura solúvel brasa,Nestle,Embalagem de 200g,"1,64 €","6,56 €/Kg"
Achocolatado em pó extra chocolate,Nesquik,Embalagem de 390g,"6,64 €/Kg","6,64 €/Kg"
Refresco em pó de ananás,PorSi,Embalagem de 40 g,"0,75 €","18,75 €/Kg"
Linhaça castanha moída,Cemporcent,Embalagem de 200g,"2,29 €","15,27 €/Kg"
Prepar arroz marisco sem gluten cv 0.8kg,Brasmar,Embalagem de 800g,"3,99 €","9,98 €/Kg"
Tablete de chocolate leite com amêndoas,PorSi Select,200 g,"10,52 €/Kg","10,52 €/Kg"
Comida húmida para gato duplo prazer com peixe do oc...,Gourmet Gold,Embalagem de 90g,"3,59 €","2,99 €/Kg"
Mel multifloral doseador,PorSi,Embalagem de 250g,"2,25 €","9,00 €/Kg"
Bolachas crackers integrais,PorSi,Embalagem de 500g,"0,39 €","3,12 €/Kg"
Toalha banho bordada,PorSi,80x80 cm,"4,99 €/Unidade","4,99 €/Unidade"
Quad drive,Beyblade,1 un.,"49,99 €/Unidade","49,99 €/Unidade"
Pensos peles sensíveis XL,PorSi,5 unidades,"1,69 €","1,69 €/Unidade"
Creme vegetal culinário,Vaqueiro,Embalagem de 450 g,"2,89 €","2,89 €/Kg"
Ovos de Galinhas Criadas ao Ar Livre,PorSi,6 ovos frescos,"1,59 €","1,59 €/Unidade"
12 Preservativos Adapta Touch & Feel,Control,,"9,99 €","9,99 €/Unidade"
Gel arnica,Labell,Embalagem de 75ml,"0,58 €","0,58 €/Unidade"
Bola de Berlim chocolate,PorSi,85g,"0,30 €/Unidade","0,30 €/Unidade"
New Dotty com Cabelo,Cry Babies,1 unidade,"11,99 €/Unidade","11,99 €/Unidade"
Sereia Bolas de Sabão,ENCHANTIMALS,1 unidade,"11,99 €/Unidade","11,99 €/Unidade"
"Óleo de girassol, 3 a's",Fula,Embalagem 1L,"3,39 €","3,39 €/L"
Ultra One,Nerf,1 unidade,"49,99 €/Unidade","49,99 €/Unidade"
Ovos Classe L,PorSi,12 unidades,"1,59 €","1,59 €/Unidade"
Vinho maduto tinto,Casal da eira,Embalagem de 1 l,"0,69 €","2,76 €/L"
Pudim Rico em Proteína de Baunilha,Ehrmann,Embalagem de 200g,"1,19 €","2,59 €/Kg"
"Iogurte, sabor a morango",PorSi,Embalagem de 4 x 125 g,"1,87 €","1,25 €/Kg"
Mauzão,Concentra,Uma unidade,"12,99 €/Unidade","12,99 €/Unidade"
Cogumelos inteiros,PorSi,Embalagem de 355 g,"2,19 €","2,81 €/Kg"
Spray Limpa Placa Indução,Induclean,450 ml,"1,79 €","2,39 €/L"
Azeite Subtil,Gallo,Garrafa de 750 ml,"3,29 €","4,39 €/L"
Bolachas barquette morango,Lu,Embalagem de 120g,"1,77 €","5,53 €/Kg"
Álcool canforado 85%,PorSi,Embalagem de 250 ml,"1,69 €","1,69 €/Unidade"
Creme vegetal p/ barrar reduz colesterol,PorSi Viva Bem,250 g,"1,99 €","3,98 €/Kg"
Mel de montanha,PorSi Select,Frasco de 250 g,"2,25 €","9,00 €/Kg"
Limpa fornos normal,Mr.muscle,Embalagem de 300 ml,"1,79 €","2,39 €/L"
Frigideira com cabo 16 cm,PorSi,1 unidade,"34,99 €","34,99 €/Unidade"
Animais Selvagens,Discovery Channel,set 30 peças,"11,99 €/Unidade","11,99 €/Unidade"
Creme marisco,Knorr,Embalagem de 70g,"0,84 €","13,55 €/Kg"
Batata frita presunto,Ruffles,Embalagem de 150 g,"1,19 €","6,43 €/Kg"
Petit gâteau,PorSi,Embalagem de  4 x 80 g,"3,99 €","7,39 €/Kg"
Serpentinas,Mercagranel,Embalagem 20 Rolos,"0,59 €","0,59 €/Unidade"
Bolachas,Oreo,Embalagem de 220g,"1,49 €","9,68 €/Kg"
Concentrado Laranja e Pêssego,Sunquick,Garrafa de 700 ml,"2,99 €","2,99 €/L"
Pescada 3 Chile,Peixe Congelado,1 un= 1 kg (aprox.),"2,40 €","11,99 €/Kg"
Faca santoku 16 cm,PorSi,1 unidade,"4,75 €","4,75 €/Unidade"
Gogo SqueeZ Snack Banana,Gogo,Embalagem de 90g,"0,99 €","11,00 €/Kg"
Iogurte natural 0%,PorSi Viva Bem,Embalagem de 6 x 125 g,"0,99 €","1,98 €/Kg"
Sardinha Congelada,Peixe Congelado,1 un = 250 gr  (aprox.),"2,40 €","11,99 €/Kg"
Bolachas belgas manteiga,PorSi,Embalagem de 250g,"1,69 €","6,76 €/Kg"
Vinho tinto doc douro,Qta.cotto,Garrafa de 750 ml,"8,49 €","11,32 €/L"
Leite condensado,Nestle,Embalagem de 370g,"1,09 €","2,75 €/Kg"
Elixir Anti-Tartaro,Listerine,500 ml,"1,29 €","2,58 €/L"
Sopa de legumes,Nestle,Embalagem de 125g,"2,19 €","11,53 €/Kg"
Ovos Galinha Solo S,PorSi,6 unidades,"1,59 €","1,59 €/Unidade"
Detergente para loiça plus + limão,Super Pop,Embalagem de 1L,"1,05 €","2,10 €/L"
Orégãos em folhas,PorSi,Saqueta com 10 g,"0,39 €","0,39 €/Kg"
Collant opac microfibra preto 60D,PorSi,Tamanho: xl,"1,89 €","1,89 €/Unidade"
"Pensos higiénicos ultra, super, com abas",Labell,Embalagem com 24 unidades,"2,69 €","2,69 €/Unidade"
Aguardente Velha,Barros,Garrafa de 70 cl,"12,79 €","18,27 €/L"
Quad com Dinossauro,Pinypon Action,1 unidade,"11,99 €/Unidade","11,99 €/Unidade"
Açorda de camarão,PorSi Select,Embalagem de 300g,"1,99 €","4,98 €/Kg"
Ovo inteiro liquido pasteurizado,Dovo,Embalagem de 500g,"2,55 €","2,55 €/Unidade"
Patê figado de porco,La piara,Embalagem de 80g,"1,19 €","13,52 €/Kg"
Queijo de ovelha curado amanteigado,PorSi Select,250 g,"2,00 €","7,99 €/Kg"
Brócolos e couve-flor cortados,PorSi,500 g,"1,99 €","3,98 €/Kg"
