Nome,Marca,Unidade,Preço Primário,Preço Secundário
Vinho tinto,Pias,Garrafa de 5 l,"5,19 €","1,04 €/L"
Bacalhau a bras,PorSi,Embalagem de 300g,"1,79 €","7,16 €/Kg"
Infusão principe,Cemporcent,Embalagem de 10 unidades,"0,89 €","80,91 €/Kg"
Ovos de Galinhas Criadas ao Ar Livre,PorSi,6 ovos frescos,"1,59 €","1,59 €/Unidade"
Chá verde,Tetley,Embalagem de 20g,"0,99 €","23,02 €/Kg"
Bebida de Soja Natural,PorSi Viva Bem,Pack: 3 x 200 ml,"2,49 €","2,49 €/L"
Lixívia para roupa tradicional,Neoblanc,Embalagem de 2 l,"2,19 €","1,10 €/L"
Bolacha tostada diet nature s/ açucares,Gullon,Embalagem de 400g,"1,45 €","11,15 €/Kg"
"Iogurte, sabor a morango",PorSi,Embalagem de 4 x 125 g,"1,87 €","1,25 €/Kg"
Cogumelos inteiros,PorSi,Embalagem de 355 g,"2,19 €","2,81 €/Kg"
Colher para arroz de inox cabo oregon,PorSi,1 unidade,"8,89 €","8,89 €/Unidade"
Bife da Vazia,Novilho,Vendido ao peso a partir de 800 g,"11,99 €","14,99 €/Kg"
Seitan,Salutem,Embalagem de 300g,"0,69 €","0,69 €/Kg"
Azeite Subtil,Gallo,Garrafa de 750 ml,"3,29 €","4,39 €/L"
Carne p/ Assar,Novilho,Vendido ao peso a partir de 800 g,"11,99 €","14,99 €/Kg"
Cornflakes + gulosos,Cemporcent,Embalagem de 250g,"0,69 €","1,73 €/Kg"
Creme marisco,Knorr,Embalagem de 70g,"0,84 €","13,55 €/Kg"
Balões latex azul,PorSi,Embalagem com 24 unidades,"1,54 €","1,54 €/Unidade"
Petit gâteau,PorSi,Embalagem de  4 x 80 g,"3,99 €","7,39 €/Kg"
Bala spray,Redex,Embalagem de 400 ml,"3,99 €","0,80 €/L"
Mousse limpeza refresh,Labell,Embalagem com 150ml,"12,48 €/L","12,48 €/L"
Muesli tropical,Cemporcent,Embalagem de 500g,"0,69 €","1,73 €/Kg"
Iogurte fruta batida morango,Mimosa,Embalagem de 480g,"1,49 €","2,98 €/Kg"
Entremeada s/ Entrecosto,Porco,Vendido ao peso a partir de 1 kg,"4,99 €","4,99 €/Kg"
Bolachas belgas manteiga,PorSi,Embalagem de 250g,"1,69 €","6,76 €/Kg"
Leite condensado,Nestle,Embalagem de 370g,"1,09 €","2,75 €/Kg"
"Mistura de couve flor, brócolos e cenoura",PorSi,Embalagem de 1 kg,"1,98 €","1,98 €/Kg"
Abre latas multiusos cabo áqua,PorSi,1 unidade,"8,89 €","8,89 €/Unidade"
Bife do Lombo,Novilho,1 un= 150 gr (aprox.),"11,99 €","14,99 €/Kg"
Maçã Golden 70/75,Programa Origens,1 un = 180 gr (aprox.),"0,27 €","1,49 €/Kg"
Detergente para loiça plus + limão,Super Pop,Embalagem de 1L,"1,05 €","2,10 €/L"
"Água com gás, sabor limão",PorSi,"Embalagem de 6x0,25 l","2,85 €","2,85 €/L"
Spray optimal 7 com lixivia,Ajax,Embalagem de 500 ml,"3,99 €","7,98 €/L"
Vinagre de vinho branco,Cristal,Garrafa de 750 ml,"0,35 €","0,70 €/L"
Patê figado de porco,La piara,Embalagem de 80g,"1,19 €","13,52 €/Kg"
"Lava tudo, vinagre",Cif,"Garrafa de 1,4 l","0,99 €","0,50 €/L"
"Agrafos nº24/6, 2000 unidades",Maped,Uma embalagem,"1,35 €","1,35 €/Unidade"
Porto ruby,Valadao,Garrafa de 750 ml,"5,99 €","7,99 €/L"
Bolachas marinheiras espelta,Cemporcent,Embalagem de 200 g,"1,45 €","11,15 €/Kg"
Lancha Motor Subaquático,Playmobil,1 unidade,"24,99 €/Unidade","24,99 €/Unidade"
Iogurte mix-in smarties baunilha,Nestle,Embalagem de 2 x 128 g,"4,23 €/Kg","4,23 €/Kg"
Buondi extreme cafe moido 12x200g,Buondi,Embalagem de 200g,"3,49 €","13,96 €/Kg"
Iogurte oikos natural,Danone,Embalagem de 4 x 110g,"1,49 €","2,98 €/Kg"
Pilha alcalina classic lr20x2,Domédia,1 unidade,"1,49 €","1,49 €/Unidade"
"Patê de sardinha,atum e salmão",PorSi,Embalagem de 4 x 22 g,"1,19 €","13,52 €/Kg"
Gestos,Hasbro,1 un.,"23,99 €/Unidade","23,99 €/Unidade"
Crack.c/sal na superficie 560g,GRAN PAVES,Embalagem de 560g,"0,39 €","3,12 €/Kg"
Farinha de alfarroba bio,PorSi Bio,Embalagem de 200 g,"1,99 €","1,99 €/Kg"
Café solúvel c/ cafeína,Delta,Embalagem de 100g,"14,50 €/Kg","14,50 €/Kg"
Mistura pombos domésticos,Rac.zezere,Embalagem de 5 kg,"4,19 €","0,84 €/Kg"
Salpicão de Ponte de Lima,PorSi,270 g,"2,12 €","10,60 €/Kg"
Polvilho azedo,PorSi,Embalagem de 500g,"2,29 €","4,58 €/Kg"
Manteiga amendoim crocant,PorSi,Embalagem de 340g,"8,54 €/Kg","8,54 €/Kg"
Senses Watermelon,Trident,1 un.,"0,89 €","59,33 €/Kg"
Bolacha digestive aveia 258g,Vieira,Embalagem de 258 g,"1,19 €","5,95 €/Kg"
Pão ralado clássico,PorSi,Embalagem de 240 g,"0,72 €","3,00 €/Kg"
Chocolate culinário,Pantagruel,Embalagem de 200g,"1,79 €","8,95 €/Kg"
10 croquetes de carne,PorSi,Embalagem de 300 g,"1,79 €","7,16 €/Kg"
Limpa injetores gasolina,PorSi,Embalagem de 250 ml,"14,99 €","14,99 €/L"
Corn flakes,PorSi,Embalagem de 1 kg,"3,99 €","7,98 €/Kg"
Leite creme,El mandari,Embalagem de 90g,"0,79 €","5,27 €/Kg"
Licor de plantas aromáticas,On Off,"Garrafa de 0,70 l","7,49 €","10,70 €/L"
Pastilhas 60 minutos Spearmint Botlle,Trident,Embalagem com 80g,"0,89 €","59,33 €/Kg"
Livro Pop-Ups - Animais,Europrice,1 unidade,"5,99 €/Unidade","5,99 €/Unidade"
Cha infusão verde,Cemporcent,Embalagem com 10 saquetas,"0,99 €","99,00 €/Kg"
Pudim de caramelo,Boca Doce,Embalagem de 20g,"0,59 €","29,50 €/Kg"
8 fantasias do mar,PorSi,Embalagem de 250g,"1,79 €","7,16 €/Kg"
Batata frita churrasco,PorSi,Embalagem de 185 g,"1,19 €","6,43 €/Kg"
12 ovos codorniz,PorSi,Embalagem de 1 unidades,"1,15 €","1,15 €/Unidade"
Adoçante liquido,PorSi,Garrafa de 125 ml,"5,99 €","23,96 €/Kg"
Arroz integral,PorSi Viva Bem,Embalagem de 1 kg,"1,49 €","1,49 €/Kg"
Carne p/ Estufar,Novilho,Vendido ao peso a partir de 800 g,"11,99 €","14,99 €/Kg"
Abóbora Menina Programa Origens,PorSi,1 un= 1 kg (aprox.),"0,79 €/Kg","0,79 €/Kg"
Tábua de engomar,PorSi,Dim.: 110 x 32 cm,"20,00 €","20,00 €/Unidade"
Cogumelos laminados 1/2,PorSi,Embalagem de 355 g,"2,19 €","2,81 €/Kg"
"Tampão super, 32 unidades",Labell,1 embalagem,"1,85 €","1,85 €/Unidade"
Ketchup,PorSi,Embalagem de 300 g,"0,87 €","2,90 €/Kg"
Queijo snack gouda,PorSi,Embalagem de 100g,"1,96 €","9,80 €/Kg"
"Borracha Technic, 600",Maped,embalagem com 2 unidades,"3,19 €","3,19 €/Unidade"
Arroz extra longo integral,Saludaes,Embalagem de 1 kg,"1,26 €","1,26 €/Kg"
Ração para gato adulto de interior,Friskies,Embalagem de 3 kg,"12,99 €","4,33 €/Kg"
Jogo caça ao tesouro,Clementoni,1 unidade,"9,99 €/Unidade","9,99 €/Unidade"
Bolacha de manteiga belga original,Saborosa,Embalagem de 220g,"1,69 €","6,76 €/Kg"
"Vinagre balsâmico, spray",Paladin,Garrafa de 250 ml,"0,35 €","0,70 €/L"
Toalha de mãos,PorSi,50 x 100 cm,"5,00 €/Unidade","5,00 €/Unidade"
Danacol morango,Danone,Embalagem de 6 x 100 g,"4,15 €/Kg","4,15 €/Kg"
Desodorizante roll-on Invisible,Rexona,Embalagem de 50ml,"1,39 €","6,95 €/L"
Adoçante à base de sucralose em pó,PorSi,Embalagem de 90g,"5,99 €","23,96 €/Kg"
Bombons Caixa Dourada c/ Laço,Belgian,Embalagem de 100G,"8,29 €","31,28 €/Kg"
"Coloração permanente, castanho dourado, nº43",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
Creme barrar nutela 350g,Nutella,Embalagem de 350G,"8,54 €/Kg","8,54 €/Kg"
Azeite,PorSi,Garrafa de 1 l,"3,29 €","4,39 €/L"
Jogo Operação,Hasbro,1 unidade,"9,99 €/Unidade","9,99 €/Unidade"
Puré batata doce,PorSi,Embalagem de 750g,"2,69 €","3,59 €/Kg"
Sumo 100% pêssego e uva,PorSi,Pack 3 x 200 ml,"1,09 €","0,73 €/L"
Mimos de pescada do cabo,Pescanova,Embalagem de 360g,"4,39 €","10,98 €/Kg"
Vira fritos de nylon cabo áqua,PorSi,1 unidade,"8,89 €","8,89 €/Unidade"
Guardanapos,PorSi,,"1,29 €","1,29 €/Unidade"
Desinfetante em gel c/ lixívia,Cif,Garrafa de 750 ml,"4,39 €","5,85 €/L"
Cogumelos laminados,PorSi,Embalagem de 185 g,"2,19 €","2,81 €/Kg"
"Limpa vidros cristal, pistola",PorSi,Embalagem de 1 l,"3,19 €","6,38 €/L"
Nata uht para culinária,Parmalat,Embalagem de 200 ml,"1,12 €","5,60 €/L"
Ice tea pessêgo,Lipton,pack 6 x 0.25 l,"1,90 €","1,27 €/L"
20 saquetas chá noite tranquila,Lipton,Embalagem de 30g,"0,99 €","99,00 €/Kg"
Papa infantil láctea 5 frutos +6 meses,Cerelac,Embalagem de 250g,"4,99 €","4,99 €/Kg"
Laca volume,Nivea,Embalagem de 250 ml,"4,19 €","16,76 €/L"
Pão ralado alho e salsa,PorSi,Embalagem de 240 g,"0,72 €","3,00 €/Kg"
Caderno Agrafado Capa Preta |A5 Liso,Domédia,1 unidade,"3,69 €","3,69 €/Unidade"
Vinagre de vinho tinto,PorSi,Garrafa de 500 ml,"0,35 €","0,70 €/L"
"Esquadro, 21 cm 60.",Domédia,1 unidade,"4,69 €","4,69 €/Unidade"
Comida húmida para gato duplo prazer com peixe do oc...,Gourmet Gold,Embalagem de 90g,"2,75 €","6,88 €/Kg"
Laboratório Mecânica Camião de Mina,Clementoni,1 unidade,"9,99 €/Unidade","9,99 €/Unidade"
Cocktail de marisco,PorSi,Embalagem de 400 g,"2,19 €","8,59 €/Kg"
Esmagador de nylon cabo áqua,PorSi,1 unidade,"8,89 €","8,89 €/Unidade"
Vinho tinto bag-in-box,Capataz,Embalagem de 5 l,"5,19 €","1,04 €/L"
Gelo picado,PorSi,Embalagem de 2 kg,"1,00 €","0,50 €/Kg"
Nata para culinária ligeira,Mimosa,Embalagem de 200 ml,"1,12 €","5,60 €/L"
"Vela em número, nº 8",PorSi,1 unidade,"0,60 €","0,60 €/Unidade"
Gelado tiramisu,PorSi,Embalagem de 900 ml,"2,69 €","5,38 €/L"
"Postas pescada nº3, para fritar",PorSi,Embalagem de 600 g,"4,39 €","10,98 €/Kg"
Pastéis de nata,PorSi,Embalagem de 6x60 g,"3,99 €","7,39 €/Kg"
"Pimenta preta, moída, em frasco",PorSi,Embalagem de 43 g,"0,25 €","0,25 €/Kg"
Refresco pó laranja,PorSi,Embalagem de 40g,"0,75 €","18,75 €/Kg"
Leite condensado cozido,Nestle,Embalagem de 400g,"1,09 €","2,75 €/Kg"
Algodão zig zag pré-cortado,PorSi,Embalagem de 50 g,"0,59 €","1,18 €/L"
"Queijo em fatias, -50% gordura",Limiano,Embalagem de 200g,"1,96 €","9,80 €/Kg"
Caramelos de fruta,Penha,Embalagem de 100g,"1,19 €","4,76 €/Kg"
Papel vegetal 8m,Vileda,1 unidade,"1,11 €","1,11 €/Unidade"
