Nome,Preço,Preço Antigo,PpU,PpU Antigo
DIA BONTÉ Pants Incontinência Pants Grande 14 Un,"10,99 €",,"0,79 €/ud",
DIADERMINE Creme de Dia Hidratante Peles Normais 50 ml,"9,99 €",,"199,80 €/l",
FENO DE PORTUGAL Sabonete Sólido Regular 4x90 g,"3,89 €",,"10,81 €/Kg",
DIA BONTÉ Escova Dentes X-Action Suave  2 Un,"1,49 €",,"0,75 €/ud",
DIA BONTÉ Escova Dentes X-Action Média 2 Un,"1,19 €",,"0,60 €/ud",
ULTRA SUAVE Champô Abacate/Karité 250 ml,"2,15 €",,"8,60 €/l",
ULTRA SUAVE Condicionador Camomila Cabelos Louros 200 ml,"2,15 €",,"10,75 €/l",
GILLETTE Gel de Barbear Mini Peles Sensíveis 75 ml,"3,49 €",,"46,53 €/l",
NIVEA Creme Miniatura 30 ml,"1,99 €",,"66,33 €/l",
NIVEA MEN Deo Roll-On Dry Impact 50 ml,"2,99 €",,"59,80 €/l",
TENA Discreet Pensos Incontinência Mulher Ultra Mini 28 un,"4,25 €",,"0,15 €/ud",
BIC Lâminas Descartáveis Flex 3 Classic  4 Un,"5,12 €",,"1,28 €/ud",
NIVEA Gel de Banho Care E Orange 500 ml,"6,49 €",,"12,98 €/l",
ELVIVE Máscara Color Vive 300 ml,"6,99 €",,"23,30 €/l",
EVAX Pensos Higiénicos Super Plus 10 un,"2,59 €",,"0,22 €/ud",
NIVEA MEN After Shave Bálsamo Sensitive 100 ml,"5,61 €",,"56,10 €/l",
NIVEA Bodymilk Smooth  250 ml,"5,49 €",,"21,96 €/l",
L'ORÉAL PARIS Creme de Noite Revitalift Clássico 50 ml,"14,99 €",,"299,80 €/l",
EVAX Penso Higiénico Fina E Segura Normal 12 Un,"1,99 €",,"0,17 €/ud",
NIVEA Desodorizante Roll-On Pure & Natural 50 ml,"4,62 €",,"92,40 €/l",
NIVEA MEN Gel Aqua Styling 150 ml,"3,63 €","5,59 €","24,20 €/l","37,27 €/l"
DIA BONTÉ Tampão Compacto com Aplicador Normal 32 Un,"4,37 €",,"0,14 €/ud",
DIA BONTÉ Tampão Compacto Super  32 un,"4,39 €",,"0,14 €/ud",
COLGATE Pasta de Dentes Max White One 75 ml,"3,36 €",,"44,80 €/l",
SCOTTEX Papel Higiénico Acolchoado 9 un,"5,99 €",,"0,67 €/ud",
EVAX Pensos Higiénicos Salva Slip Normal 62 Un,"3,09 €",,"0,06 €/ud",
PALETTE Coloração Para Cabrlo N.8 Louro Claro 1 Un,"5,99 €",,"5,99 €/ud",
VEET Creme Depilatório Pele Sensível 200 ml,"9,99 €",,"49,95 €/l",
TENA Discreet Pensos Incontinência Mulher Maxi Night 12 un,"8,49 €",,"0,71 €/ud",
PANTENE Máscara Liso E Sedoso 300 ml,"6,59 €",,"21,97 €/l",
AQUAFRESH Escova de Dentes Tripla Proteção Média 1+1 un,"3,19 €",,"3,19 €/ud",
LINDOR Fralda Para Incontinência com Elásticos Tamanho Grande e Absorção Máxima 20 Un,"13,74 €",,"0,69 €/ud",
DIA BONTÉ Champô Cabelos Normais 1 L,"1,19 €",,"1,19 €/l",
LINDOR Fralda Para Incontinência com Elásticos Tamanho Médio e Absorção Super 20 Un,"12,49 €",,"0,62 €/ud",
NUTRISSE Coloração Castanho Violino N4.26 1 un,"9,49 €",,"9,49 €/ud",
NUTRISSE Coloração Permanente Creme Vermelho Ousado 5.62 1 Un,"6,16 €",,"6,16 €/ud",
PALETTE Coloração Para Cabelo Nº1.1 Preto Azulado 1 Un,"5,99 €",,"5,99 €/ud",
ORAL-B Dentífrico Complete Elixir Limpeza Refrescante 75 ml,"2,24 €",,"29,87 €/l",
DIA BONTÉ Champô Cuidado Clássico 400 ml,"2,59 €",,"6,48 €/l",
DIADERMINE Creme de Rosto Lift+ Hidratante Anti-Rugas Refirmante 50 ml,"14,99 €",,"299,80 €/l",
L'OREAL PARIS Creme Rosto Noite Age Perfect 50 ml,"15,99 €",,"319,80 €/l",
L'OREAL PARIS Creme Roto Dia Age Perfect 50 ml,"15,99 €",,"319,80 €/l",
NIVEA Creme Lata 75 ml,"2,49 €",,"33,20 €/l",
GLISS Champô Ultimate Repair 250 ml,"5,14 €",,"20,56 €/l",
VEET Creme Depilatório For Men Peles Sensíveis 200 ml,"9,99 €",,"49,95 €/l",
NIVEA Mini Desodorizante Invisible Clear 35 ml,"2,19 €",,"62,57 €/l",
NIVEA MEN Mini Desodorizante Invisible Black & White 35 ml,"2,19 €",,"62,57 €/l",
GARNIER Pure Gel 3 em 1 150 ml,"7,99 €",,"53,27 €/l",
COLGATE Fio Dentário 50 M,"3,99 €",,"0,08 €/m",
LACTOVIT Loção Corporal Lactourea 400 ml,"7,39 €",,"18,47 €/l",
COLHOGAR Papel Higiénico Compacto Ultra Suave XXL (12R=24R) 12 un,"9,29 €",,"0,77 €/ud",
SENSODYNE Dentífrico Repair E Protege 75 ml,"4,99 €",,"66,53 €/l",
L'ORÉAL Creme de Rosto Men Expert Vita Lift 5 50 ml,"9,79 €","13,99 €","195,80 €/l","279,80 €/l"
NIVEA Creme Vital Dia Extra Nutritiva 50 ml,"9,99 €",,"199,80 €/l",
NIVEA MEN After Shave Loção Sensitive 100 ml,"6,74 €",,"67,40 €/l",
GLISS Máscara Boião Ultimate Repair 200 ml,"8,23 €",,"41,15 €/l",
AQUAFRESH Pasta de Dentes de Leite 50 ml,"2,89 €",,"57,80 €/l",
PALMOLIVE Sabão de Glicerina Natural 90 g,"0,99 €",,"11,00 €/Kg",
