Nome,Preço,Preço Antigo,PpU,PpU Antigo
IGLO Barrinhas Forníssimo Douradinhos 300 g,"2,79 €",,"9,30 €/Kg",
IGLO Hamburgueres de Vaca sem  Glúten 8 Un,"5,49 €",,"8,58 €/Kg",
DIA É TÃO FISH Posta de Pescada nº5 para Cozer 800 g,"5,65 €","5,82 €","7,06 €/Kg","7,28 €/Kg"
IGLO Hambúrguer de Frango Sem Glúten 8 Un,"5,49 €",,"11,44 €/Kg",
IGLO Douradinhos de Peixe 15 Un,"5,69 €",,"13,55 €/Kg",
MAGNUM Gelados Multipack Magnum Mini Double Caramelo e Chocolate 6x60 ml,"5,99 €",,"16,64 €/l",
IGLO Crocantes de Frango Original 2 un,"3,99 €",,"22,17 €/Kg",
IGLO Crocantes de Frango Parmesão E Ervas 2 un,"3,99 €",,"22,17 €/Kg",
BEN&JERRY Gelado Peanut Butter 465 ml,"6,79 €",,"14,60 €/l",
DIA SIMPRATICO Hambúrguer de Porco Sem Glúten 8 Un,"5,20 €",,"8,67 €/Kg",
DIA SIMPRATICO Hambúrguer de Bovino Sem Glúten 1 kg,"7,20 €",,"7,20 €/Kg",
IGLO Nuggets de Frango & Queijo 10 Un,"2,99 €",,"14,38 €/Kg",
DIA MARI MARINHEIRA Miolo de Mexilhão 250 g,"2,05 €",,"8,20 €/Kg",
PESCANOVA Preparado Para Mariscada sem Glúten 500 g,"4,19 €",,"8,38 €/Kg",
PESCANOVA Delícias com Forma de Lagosta 255 g,"2,99 €",,"11,73 €/Kg",
BRASMAR Caldeirada de Bacalhau Demolhado 800 g,"4,99 €",,"6,24 €/Kg",
IGLO Douradinhos de Peixe Estaladiços 12 Un,"5,69 €",,"15,55 €/Kg",
IGLO Veggie Bowls De Quinoa E Abóbora 350 g,"2,99 €",,"8,54 €/Kg",
CRISTAL ICE Gelo Picado 2 kg,"1,99 €",,"1,00 €/Kg",
BRASMAR Caldeirada de Peixe 700 g,"4,99 €",,"7,13 €/Kg",
IGLO Veggie Bowls Trigo Sarraceno 350 g,"2,99 €",,"8,54 €/Kg",
