Nome,Preço,Preço Antigo,PpU,PpU Antigo
ACTIVIA Iogurte Bifidus Líquido Kiwi 4x155 g,"1,99 €",,"3,21 €/Kg",
DIA FIDIAS Iogurte Grego Stracciatella 4x125 g,"1,55 €",,"3,10 €/Kg",
DIA FIDIAS Iogurte Grego Maracujá 4x125 g,"1,55 €",,"3,10 €/Kg",
DANONE Iogurte Líquido de Tutti-Frutti 4x155 g,"2,59 €",,"4,18 €/Kg",
ROYAL Gelatina de Ananás Light 10 Kcal 4x100 g,"2,19 €",,"5,48 €/Kg",
AYAM Leite de Coco 200 ml,"1,69 €",,"8,45 €/l",
DIA SONHOS Gelatina de Morango Light 8Kcal 6x100 g,"1,49 €",,"2,48 €/Kg",
ACTIVIA Iogurte Cremoso Frutos Silvestres 4x120 g,"1,89 €",,"3,94 €/Kg",
ACTIVIA Iogurte Sólido Cereais 4x115 g,"2,09 €",,"4,54 €/Kg",
UCAL Leite C/Chocolate Light 6x250 ml,"4,32 €",,"2,88 €/l",
ACTIVIA Iogurte Sólido Cremoso 0% Cocktail de Frutas 4x120 g,"2,49 €",,"5,19 €/Kg",
PRÉSIDENT Natas Frescas com 30% de Matéria Gorda 200 ml,"1,79 €",,"8,95 €/l",
MIMOSA Iogurte Líquido Magro Morango Super Poupança 6x156 ml,"2,69 €",,"2,97 €/l",
MIMOSA Iogurte Líquido Magro Frutos Tropicais Super Poupança 6x156 ml,"2,69 €",,"2,97 €/l",
SHOYCE Bebida de Arroz 0% 1 L,"1,79 €",,"1,79 €/l",
YOGGI Iogurte Sem Lactose Morango 4x160 g,"3,22 €",,"5,03 €/Kg",
YOGGI Iogurte Sem Lactose Morango & Banana 4x160 g,"3,22 €",,"5,03 €/Kg",
VIGOR Leite Pasteurizado Meio Gordo 0% de Lactose 1 L,"1,25 €",,"1,25 €/l",
VIGOR Leite Meio Gordo com Chocolate 4x200 ml,"2,09 €",,"2,61 €/l",
BECEL Margarina Sabor A Manteiga 400 g,"3,17 €",,"7,93 €/Kg",
YOGGI Iogurte Líquido de Morango 8x160 g,"4,91 €",,"3,84 €/Kg",
BECEL Pro Active Sabor Manteiga 225 g,"3,99 €",,"17,73 €/Kg",
YOGGI Iogurte Líquido Aroma Frutos Silvestres 4x160 g,"3,19 €",,"4,98 €/Kg",
YOGGI Iogurte Líquido Aroma Frutos Tropicais 4x160 g,"3,19 €",,"4,98 €/Kg",
YAOS Iogurte de Stracciatella 4x110 g,"2,19 €",,"4,98 €/Kg",
SANTIAGO Queijo Quinta do Olival Barrado 450 g,"8,49 €",,"8,49 €/ud",
SERRAS DE PENELA Queijo de Vaca E Ovelha Pequeno 1 Un,"3,89 €",,"3,89 €/ud",
SERRAS DE PENELA Queijo de Vaca E Ovelha Grande 1 Un,"6,99 €",,"6,99 €/ud",
FLORA Margarina 400 g,"3,49 €",,"8,73 €/Kg",
ACTIVIA Iogurte Líquido Frutos Silvestres 4x155 g,"1,99 €",,"3,21 €/Kg",
A VACA QUE RI Queijo Fundido Palitos Light 4x35 g,"1,99 €",,"14,21 €/Kg",
CASTELÕES Queijo Prato Light 1 Un,"6,99 €",,"6,99 €/ud",
DANET Sobremesa Baunilha 4x125 g,"1,99 €",,"3,98 €/Kg",
PAIVA Queijo Curado Meio Gordo 1 Un,"6,55 €","7,55 €","6,55 €/ud","7,55 €/ud"
LACTAÇORES Queijo DOP S. Jorge 12 Meses 300 g,"6,29 €",,"20,97 €/Kg",
DANET Sobremesa Caramelo 4x125 g,"1,99 €",,"3,98 €/Kg",
NOVA AÇORES Leite UHT Meio Gordo 1 L,"0,85 €",,"0,85 €/l",
CASTELÕES Queijo Prato 1 Un,"6,99 €",,"6,99 €/ud",
SHOYCE Bebida de Arroz 0% 200 ml,"0,60 €",,"3,00 €/l",
DIA VITAL Bebida de Arroz 1 L,"1,53 €",,"1,53 €/l",
GALBANI Mozzarella Fresca Mini 150 g,"2,69 €",,"17,93 €/Kg",
KOLIÓS Queijo Feta DOP 200 g,"2,59 €",,"12,95 €/Kg",
CAMPAINHA Queijo Ralado Flamengo 150 g,"1,69 €",,"11,27 €/Kg",
FALLINI Queijo Ralado em Pó com Doseador 80 g,"1,69 €",,"21,12 €/Kg",
PAIVA Queijo Prato Apimentado 1 Un,"6,55 €","7,55 €","6,55 €/ud","7,55 €/ud"
A VACA QUE RI Queijo Fundido Porções (16 unidades) 280 g,"3,29 €",,"0,21 €/ud",
A VACA QUE RI Queijo Fundido Porções Light (16 unidades) 280 g,"3,39 €",,"12,11 €/Kg",
OIKOS Iogurte Pêssego 4x110 g,"2,09 €",,"4,75 €/Kg",
MIMOSA Molho de Natas Para Carne 200 ml,"1,09 €",,"5,45 €/l",
"DIA LÁCTEA Queijo Fresco sem Lactose 4x62,5 g","2,09 €",,"8,36 €/Kg",
MILHAFRE Leite UHT Pastagem Meio Gordo 1 L,"0,95 €",,"0,95 €/l",
OIKOS Iogurte Cheesecake de Mirtilo 4x110 g,"2,09 €",,"4,75 €/Kg",
DANET Sobremesa de Chocolate Duplo Prazer 4x100 g,"1,99 €",,"4,98 €/Kg",
ACTIVIA Iogurte Líquido Magro Lima Limão 4x155 g,"3,39 €",,"5,47 €/Kg",
YOPRO Iogurte Líquido Morango e Framboesa 300 g,"2,39 €",,"7,97 €/Kg",
DIA LÁCTEA Iogurte Líquido Natural açúcarado 1 kg,"1,65 €",,"1,65 €/Kg",
DIA LÁCTEA Iogurte Liquido Morango E Banana 1 kg,"1,65 €",,"1,65 €/Kg",
PRÉSIDENT Chantilly 250 g,"2,89 €",,"11,56 €/Kg",
GO CHILL Cappuccino 230 ml,"1,59 €",,"6,91 €/l",
PRÉSIDENT Creme de Queijo Brie 125 g,"2,45 €",,"19,60 €/Kg",
REINA Iogurte Grego Natural 500 g,"1,89 €",,"3,78 €/Kg",
TERRA NOSTRA Manteiga Sem Sal 250 g,"2,35 €",,"9,40 €/Kg",
MILHAFRE Queijo Ilha Graciosa 280 g,"3,49 €",,"12,46 €/Kg",
LAGOS Queijo de Ovelha E Cabra Curado 1 Un,"5,49 €",,"5,49 €/ud",
MILHAFRE Leite de Pastagem Meio Gordo Bio 1 L,"1,29 €",,"1,29 €/l",
AGROS Queijo Flamengo Fatias 200 g,"1,95 €",,"9,75 €/Kg",
MIMOSA Iogurte Polpa Banana e Morango 4x120 g,"1,99 €",,"4,33 €/Kg",
"MIMOSA Iogurte Polpa Banana, Laranja e Bolacha 4x120 g","1,99 €",,"4,15 €/Kg",
GO CHILL Caffe Late 230 ml,"1,59 €",,"6,91 €/l",
DIA Ovos Classe XL 6 Un,"1,99 €",,"1,99 €/ud",
PALHAIS Queijo Cremoso de Cabra para Barrar 125 g,"1,59 €",,"1,59 €/ud",
SANTIAGO Queijo Cremoso de Mistura para Barrar 125 g,"1,59 €",,"1,59 €/ud",
SANTIAGO Queijo Cremoso de Vaca para Barrar 125 g,"1,59 €",,"1,59 €/ud",
CAMPAINHA Queijo Fatiado Cheddar 150 g,"2,29 €",,"15,27 €/Kg",
SANTIAGO Queijo Três Igrejas 450 g,"5,49 €",,"12,20 €/Kg",
DIA LÁCTEA Leite UHT Meio Gordo 1 L,"0,78 €",,"0,78 €/l",
DIA LÁCTEA Leite Magro 1 L,"0,78 €",,"0,78 €/l",
DIA LÁCTEA Leite UHT Gordo 1 L,"0,94 €",,"0,94 €/l",
DIA LÁCTEA Iogurte Líquido Aroma Frutos Tropicais 160 g,"0,36 €",,"0,36 €/ud",
DIA Queijo Fundido 250 g,"1,83 €",,"7,32 €/Kg",
DIA VITAL Bebida de Soja Natural 1 L,"1,02 €",,"1,02 €/l",
O PRÉMIO DO DIA Sobremesa Flan de Ovo 4x100 g,"1,49 €",,"3,73 €/Kg",
PLANTA Margarina 400 g,"3,49 €",,"8,73 €/Kg",
MIMOSA Manteiga Com Sal 250 g,"2,29 €",,"9,16 €/Kg",
MIMOSA Natas UHT 200 ml,"0,89 €",,"4,45 €/l",
PHILADELPHIA Queijo Fresco Para Barrar Com Ervas 150 g,"2,19 €",,"14,60 €/Kg",
DIA Iogurte Magro Com Pedaços Multifruta 8x125 g,"2,65 €",,"2,65 €/Kg",
PRÉSIDENT Queijo Creme Camembert 125 g,"2,19 €",,"17,52 €/Kg",
