Nome,Preço,Preço Antigo,PpU,PpU Antigo
DIA HORA + DOCE Leite Creme 92 g,"0,50 €",,"5,43 €/Kg",
LAGOS Queijo de Ovelha Amanteigado de Seia 1 Un,"7,99 €",,"7,99 €/ud",
DIA NATURMUNDO Coco Ralado 200 g,"1,15 €",,"5,75 €/Kg",
HORTA DO DIA Batata Para Cozer Embalada 3 kg,"3,38 €",,"1,13 €/Kg",
DIA (A) MAR À VISTA Posta Média Bacalhau Demolhado Ultracongelado 800 g,"6,59 €",,"8,24 €/Kg",
Abacaxi (1 un = 2040 g aprox),"2,84 €",,"1,39 €/Kg",
PALHAIS Queijo de Cabra Chèvre 180 g,"3,99 €",,"22,17 €/Kg",
DIA HORA + DOCE Mousse de Chocolate 150 g,"1,02 €",,"6,80 €/Kg",
DIA Leite Condensado 397 g,"1,33 €",,"3,35 €/Kg",
DIA LÁCTEA Leite Condensado Magro 397 g,"1,33 €",,"3,35 €/Kg",
PRÉSIDENT Queijo Roquefort 100 g,"3,35 €",,"33,50 €/Kg",
LIMIANO Queijo Amanteigado Vaca E Ovelha 450 g,"6,19 €",,"13,76 €/Kg",
SANTIAGO Requeijão Light 170 g,"1,69 €",,"9,94 €/Kg",
DIA (A) MAR À VISTA Posta Tradicional Bacalhau Demolhado Ultracongelado 800 g,"10,29 €",,"12,86 €/Kg",
DIA Leite Condensado Cozido 397 g,"1,43 €",,"3,60 €/Kg",
DIA (A) MAR À VISTA Lombos de Bacalhau Demolhado Ultracongelado 800 g,"13,09 €",,"16,36 €/Kg",
LAGOS Requeijão de Ovelha 150 g,"1,49 €",,"9,93 €/Kg",
PRÉSIDENT Queijo Brie 200 g,"3,79 €",,"18,95 €/Kg",
PRISCA Alheira de Caça 180 g,"2,25 €",,"12,50 €/Kg",
DIA SABOR CHARCUTEIRO Alheira Trasmontana 200 g,"1,49 €",,"7,45 €/Kg",
DIA SELEÇÃO MUNDIAL Queijo Brie 200 g,"1,59 €",,"7,95 €/Kg",
DIA TEMPTATION Chocolate Em Pó 125 g,"0,88 €",,"7,04 €/Kg",
DIA O CHOCALHO Queijo Mistura Amanteigado 1 Un,"5,29 €",,"5,29 €/ud",
DIA MARI MARINHEIRA Camarão Selvagem Madagáscar 800 g,"20,75 €",,"25,94 €/Kg",
DIA SABOR CHARCUTEIRO Farinheira de Seia 200 g,"1,39 €","1,65 €","6,95 €/Kg","8,25 €/Kg"
DIA Massa Quebrada 230 g,"1,09 €",,"4,74 €/Kg",
FRUTOS SECOS DO DIA Miolo de Noz Metades 200 g,"2,79 €",,"13,95 €/Kg",
FRUTOS SECOS DO DIA Passas Sultanas 200 g,"0,89 €",,"4,45 €/Kg",
DIA SABOR CHARCUTEIRO Alheira de Mirandela IGP 200 g,"1,55 €",,"7,75 €/Kg",
BEIRANOVA Polvo Limpo 2-3Kg (1 un = 2485 g aprox),"39,74 €",,"15,99 €/Kg",
MARFRESCO Sapateira Cozida Congelada 600/800 1 Un,"12,99 €",,"12,99 €/ud",
Saquetas Com Pais Natal  100 g,"1,79 €",,"17,90 €/Kg",
PINTAROLAS Bola de Natal 40 g,"3,34 €",,"83,50 €/Kg",
REGINA Árvore de Natal 84 g,"2,89 €",,"34,40 €/Kg",
MON CHERI Bombons 15 Un,"5,29 €",,"33,59 €/Kg",
FERRERO Bombons Rondnoir 14 un,"5,49 €",,"39,78 €/Kg",
CONCENTRA Jogo Mauzão Júnior,"15,99 €",,"15,99 €/ud",
NESCAFÉ DOLCE GUSTO Café Ristretto Ardenza (Intensidade 11) 3x16 un,"14,89 €",,"0,31 €/ud",
SANTIAGO Queijo Atabafado Quinta do Olival Alho & Ervas 2x90 g,"4,69 €",,"26,06 €/Kg",
CÁLEM Vinho do Porto LBV Velhotes 750 ml,"18,99 €",,"25,32 €/l",
DIA TEMPTATION Bombons Crocanti Branco 150 g,"3,49 €",,"23,27 €/Kg",
DIA SELEÇÃO MUNDIAL Salmão Fumado 100 g,"3,69 €",,"36,90 €/Kg",
FITA AZUL Espumante Celebration Doce com Oferta de Flute 2x750 ml,"11,38 €",,"7,59 €/l",
CARAVAN Coffret Eau de Parfum nº61 + Mini 30 ml 1 un,"11,99 €",,"79,93 €/l",
FUMEIRO SERRA DA ESTRELA Chouriço Cura 100% Natural 200 g,"4,29 €",,"21,45 €/Kg",
FORNADA DO DIA Pão de Ló Cremoso 500 g,"5,49 €",,"10,98 €/Kg",
CASTELÕES Queijo Prato Cura Especial Barrado Pimentão 1 un,"7,24 €",,"7,24 €/ud",
DIA O CHOCALHO Queijo de Nisa DOP 1 un,"6,99 €",,"6,99 €/ud",
DIA (A) MAR À VISTA Bacalhau do Pacífico Desfiado 500 g,"6,19 €",,"12,38 €/Kg",
DIA (A) MAR À VISTA Posta Bacalhau Demolhado Ultracongelado 800 g,"6,29 €",,"7,86 €/Kg",
