Nome,Preço,Preço Antigo,PpU,PpU Antigo
"PEPETED Silica Gel Absorvente 3,8 L","6,99 €",,"1,84 €/l",
PEDIGREE Alimento de Cão Húmido Junior 4x100 g,"2,00 €",,"5,00 €/Kg",
"PERFECT FIT Alimentação Seca Para Gato Esterelizado Galinha 1,4 kg","9,89 €",,"7,06 €/Kg",
PET WASH Champô Para Animais Sport 500 ml,"2,99 €",,"5,98 €/l",
PEPETED Sacos Higiénicos 60 un,"1,29 €",,"1,29 €/ud",
PURINA GOURMET Alimento Húmido Para Gato Nature's Creations Rico em Frango e Rico em Peru 4x85 g,"3,89 €",,"11,44 €/Kg",
PURINA GOURMET Alimento Húmido Para Gato Nature's Creations Rico em Peixe do Oceano e Rico em Atum 4x85 g,"3,89 €",,"11,44 €/Kg",
PEDIGREE Snack Para Cão Dentastix 180 g,"3,29 €",,"18,28 €/Kg",
PERFECT FIT Alimento Seco Para Gato Adulto Galinha 750 g,"5,39 €",,"7,19 €/Kg",
PERFECT FIT Alimento Húmido Para Gato Salmão 4x85 g,"2,39 €",,"7,03 €/Kg",
PURINA Tira Dentalife Gato Sabor Frango 40 g,"1,99 €",,"49,75 €/Kg",
FRISKIES Alimento Húmido Para Cão Saquetas 12x100 g,"6,99 €",,"5,83 €/Kg",
DIA DELIGATO Areia Perfumada Para Gatos 5 kg,"2,29 €",,"0,46 €/Kg",
DIA DELIGATO Areia Para Gatos 5 kg,"1,39 €",,"0,28 €/Kg",
DIA DELIGATO Areia Aglomerante Para Gatos 4 kg,"3,69 €",,"0,92 €/Kg",
PURINA ONE Alimento Seco Vaca para Gato Esterilizado 3 kg,"22,99 €",,"7,66 €/Kg",
ULTIMA Alimento Seco Salmão para Gato Adulto 750 g,"7,19 €",,"9,59 €/Kg",
GOURMET Alimento Húmido Mousse Atum para Gato Revelations 4x57 g,"3,49 €",,"0,87 €/ud",
GOURMET Alimento Húmido Peixe do Oceano para Gato Nature Creations 85 g,"0,99 €",,"11,65 €/Kg",
GOURMET REVELATIONS Alimento Húmido para Gato Mousse Salmão 4x57 g,"3,49 €",,"15,31 €/Kg",
FELIX Alimento Húmido Para Gato com Pedaços de Frango e Vaca em Gelatina 4x85 g,"1,94 €",,"5,71 €/Kg",
FELIX Alimento Húmido Para Gato Fantastic Junior 4x85 g,"1,94 €",,"5,71 €/Kg",
FELIX Alimento Húmido Para Gato com Pedaços de Atum e Salmão em Gelatina 4x85 g,"1,94 €",,"5,71 €/Kg",
FELIX Alimento Húmido Para Gato Fantastic 12x85 g,"5,24 €",,"5,14 €/Kg",
FRISKIES Alimento Húmido para Cão Júnior Frango e Cenoura 4x100 g,"2,59 €",,"6,48 €/Kg",
