Nome,Preço,Preço Antigo,PpU,PpU Antigo
BECEL Pro Active Sabor Manteiga 225 g,"3,99 €",,"17,73 €/Kg",
PESCANOVA Preparado Para Mariscada sem Glúten 500 g,"4,19 €",,"8,38 €/Kg",
CRUNCH Chocolate Dark Nestlé 100 g,"1,99 €",,"19,90 €/Kg",
SHOYCE Bebida de Arroz 0% 200 ml,"0,60 €",,"3,00 €/l",
DIA VITAL Bebida de Arroz 1 L,"1,53 €",,"1,53 €/l",
DIA TEMPTATION Sortido de Bombons Sem Açúcar 300 g,"4,99 €",,"16,63 €/Kg",
DIA TEMPTATION Trufas Belgas Cacau 250 g,"2,19 €",,"8,76 €/Kg",
DIA Topping Cobertura De Morango 295 g,"2,19 €",,"7,42 €/Kg",
DIA Topping Cobertura de Chocolate 295 g,"2,45 €",,"8,31 €/Kg",
DIA Amendoins Cobertos de Chocolate 250 g,"2,00 €",,"8,00 €/Kg",
YOGOLINO Alperce Nestlé 4x100 g,"2,16 €",,"5,40 €/Kg",
NESTLÉ Fruta para Bebé Maçã e Pera +4 Meses 4x100 g,"2,31 €","2,89 €","5,77 €/Kg","7,23 €/Kg"
BLÉDINA Frutapura Ameixa e Maçã 4x95 g,"2,79 €",,"7,34 €/Kg",
DIA LÁCTEA Iogurte Liquido Morango E Banana 1 kg,"1,65 €",,"1,65 €/Kg",
NESCAFÉ Galão Café Solúvel 8x17 g,"2,99 €",,"21,99 €/Kg",
CRUNCH Tablete de Chocolate Branco 100 g,"2,05 €",,"20,50 €/Kg",
DIA TEMPTATION Sorvete de Iogurte de Morango 6x60 ml,"2,15 €",,"5,97 €/l",
DIA TEMPTATION Gelados Mini 4 Sabores 12x36 g,"2,59 €",,"4,32 €/l",
DIA Chocolate Branco 100 g,"0,71 €",,"7,10 €/Kg",
DIA SABOR CHARCUTEIRO Bacon Fatias 200 g,"2,09 €",,"10,45 €/Kg",
DIA VITAL Bebida de Soja Natural 1 L,"1,02 €",,"1,02 €/l",
O PRÉMIO DO DIA Sobremesa Flan de Ovo 4x100 g,"1,49 €",,"3,73 €/Kg",
MAGGI Puré de Batata 250 g,"2,49 €",,"9,96 €/Kg",
DIA Iogurte Magro Com Pedaços Multifruta 8x125 g,"2,65 €",,"2,65 €/Kg",
DIA MARI MARINHEIRA Petinga Em Tomate 90 g,"1,00 €",,"16,13 €/Kg",
NESCAFÉ Café Solúvel Clássico 100 g,"3,99 €",,"39,90 €/Kg",
DIA Maionese Up Down 300 ml,"1,43 €",,"4,77 €/l",
DIA TEMPTATION Gelados Multipack Big de Chocolate de Leite 4X120 ml,"1,85 €",,"3,85 €/l",
DIA HORA + DOCE Leite Creme 92 g,"0,50 €",,"5,43 €/Kg",
DIA LÁCTEA Leite Com Chocolate 3x200 ml,"0,87 €",,"1,45 €/l",
NOBRE Frankfurt Salsichas Lata 6 Un,"1,19 €",,"4,76 €/Kg",
DIA Amendoins Com Sal 250 g,"1,05 €",,"4,20 €/Kg",
NESCAFÉ Café Solúvel Clássico 10x2 g,"1,59 €",,"79,50 €/Kg",
DIA Salsichas Baviera 300 g,"2,19 €",,"7,30 €/Kg",
DIA TÔFRITA! Batata Frita Caseira 180 g,"1,05 €",,"5,83 €/Kg",
DIA TÔFRITA! Batata Frita Palha 200 g,"1,12 €",,"5,60 €/Kg",
DIA MARI MARINHEIRA Sardinhas Em Tomate Picante 120 g,"1,05 €",,"8,75 €/Kg",
DIA SABOR CHARCUTEIRO Fiambre da Pá 2x125 g,"1,99 €",,"7,96 €/Kg",
O PRÉMIO DO DIA Mousse de Chocolate 4x60 g,"1,05 €",,"4,38 €/Kg",
DIA VEGECAMPO Polpa de Tomate 500 g,"1,02 €",,"2,04 €/Kg",
DIA SABOR CHARCUTEIRO Tiras de Bacon 2x100 g,"2,79 €",,"13,95 €/Kg",
DIA HORA + DOCE Mousse de Chocolate 150 g,"1,02 €",,"6,80 €/Kg",
DIA Maionese Frasco 450 ml,"2,26 €",,"5,02 €/l",
RUFFLES Batata Frita Heinz Ketchup 150 g,"1,89 €",,"12,60 €/Kg",
FRITOS Aperitivos Tiras de Milho 130 g,"1,07 €",,"8,23 €/Kg",
LAY'S Batata Frita Lisa Mediterrâneas Clássicas 150 g,"2,19 €",,"14,60 €/Kg",
DIA HORA + DOCE Pudim de Baunilha 90 g,"0,46 €",,"5,11 €/Kg",
NESTLÉ Leite Condensado Cozido 397 g,"1,56 €",,"3,93 €/Kg",
O PRÉMIO DO DIA Arroz Doce 4x130 g,"2,59 €",,"4,98 €/Kg",
NESCAFÉ DOLCE GUSTO Cappuccino 16 Un,"5,99 €",,"0,37 €/ud",
NESCAFÉ DOLCE GUSTO Café Espresso Intenso (Intensidade 7) 16 Un,"5,99 €",,"0,37 €/ud",
DIA O CHOCALHO Queijo Flamengo Fatias 450 g,"3,89 €",,"8,64 €/Kg",
IZIDORO Salsichas Hot Dog 4 Un,"2,46 €",,"9,84 €/Kg",
NOBRE Extra Suculento Fiambre Fatias Finas 100 g,"1,29 €",,"12,90 €/Kg",
NESCAFÉ DOLCE GUSTO Café Expresso Sical (Intensidade 7) 30 Un,"10,49 €",,"0,35 €/ud",
"BABYSMILE Puré de Frutas Maçã, Pêra E Pêssego 2x200 g","2,05 €",,"5,12 €/Kg",
NOBRE Extra Suculento Fiambre Fatias Clássicas 100 g,"1,20 €",,"12,00 €/Kg",
CAMPOFRIO Forno de Lenha Peito de Peru Fatias Clássicas 120 g,"1,99 €","2,69 €","16,58 €/Kg","22,42 €/Kg"
DIA Gomas Sortidas 250 g,"1,49 €",,"5,96 €/Kg",
DIA Gomas Tubarão Brilho 300 g,"1,95 €",,"6,50 €/Kg",
DIA Gomas Sortidas 300 g,"1,45 €",,"4,83 €/Kg",
